Class ID,Preferred Label
http://edamontology.org/topic_3569,Applied mathematics
http://edamontology.org/topic_3383,Bioimaging
http://edamontology.org/topic_3179,ChIP-on-chip
http://edamontology.org/topic_3169,ChIP-seq
http://edamontology.org/topic_3940,Chromosome conformation capture
http://edamontology.org/topic_3934,Cytometry
http://edamontology.org/topic_3954,Echography
http://edamontology.org/topic_3676,Exome sequencing
http://edamontology.org/topic_3678,Experimental design and studies
http://edamontology.org/topic_3517,GWAS study
http://edamontology.org/topic_3923,Genome resequencing
http://edamontology.org/topic_3516,Genotyping experiment
http://edamontology.org/topic_3382,Imaging
http://edamontology.org/topic_3656,Immunoprecipitation experiment
http://edamontology.org/topic_3361,Laboratory techniques
http://edamontology.org/topic_3385,Light microscopy
http://edamontology.org/topic_3068,Literature and language
http://edamontology.org/topic_3444,MRI
http://edamontology.org/topic_3315,Mathematics
http://edamontology.org/topic_3384,Medical imaging
http://edamontology.org/topic_3837,Metagenomic sequencing
http://edamontology.org/topic_3674,Methylated DNA immunoprecipitation
http://edamontology.org/topic_3518,Microarray experiment
http://edamontology.org/topic_3519,PCR experiment
http://edamontology.org/topic_3957,Protein interaction experiment
http://edamontology.org/topic_3520,Proteomics experiment
http://edamontology.org/topic_3570,Pure mathematics
http://edamontology.org/topic_3794,RNA immunoprecipitation
http://edamontology.org/topic_3170,RNA-Seq
http://edamontology.org/topic_3523,RNAi experiment
http://edamontology.org/topic_3168,Sequencing
http://edamontology.org/topic_3524,Simulation experiment
http://edamontology.org/topic_4028,Single-Cell Sequencing
http://edamontology.org/topic_2269,Statistics and probability
http://edamontology.org/topic_3452,Tomography
http://edamontology.org/topic_3673,Whole genome sequencing
