Model,Abstract,MeSH Terms,Old Ground Truth,New Ground Truth,Predictions,Jaccard Similarity,Precision,Recall,Added Labels (Predictions against New Ground Truth),Missing Labels (Predictions against New Ground Truth),Added Labels (Predictions against GPT-3.5),Missing Labels (Predictions against GPT-3.5),Hallucinations
ft:gpt-3.5-turbo-1106:personal::8SDAGTmv,"While microarray experiments generate voluminous data, discerning trends that support an existing or alternative paradigm is challenging. To synergize hypothesis building and testing, we designed the Pathogen Associated Drosophila MicroArray (PADMA) database for easy retrieval and comparison of microarray results from immunity-related experiments (www.padmadatabase.org). PADMA also allows biologists to upload their microarray-results and compare it with datasets housed within PADMA. We tested PADMA using a preliminary dataset from Ganaspis xanthopoda-infected fly larvae, and uncovered unexpected trends in gene expression, reshaping our hypothesis. Thus, the PADMA database will be a useful resource to fly researchers to evaluate, revise, and refine hypotheses.","['Animals', 'Computational Biology', '*Databases, Genetic', 'Drosophila/*genetics', 'Drosophila Proteins/*genetics', 'Immunity, Innate/genetics', 'Oligonucleotide Array Sequence Analysis']","Animal study, Biology, Computational biology, Immunoinformatics, Laboratory animal science, Proteins, Sequence analysis, Zoology","{'Zoology', 'Computational biology', 'Genetics'}","{'Gene regulation', 'Laboratory animal science', 'Zoology', 'Gene expression', 'Animal study', 'Pathology', 'Immunology', 'Infectious disease'}",0.1,0.125,0.3333333333333333,"{'Gene regulation', 'Laboratory animal science', 'Gene expression', 'Animal study', 'Pathology', 'Immunology', 'Infectious disease'}","{'Computational biology', 'Genetics'}","{'Gene regulation', 'Immunoinformatics', 'Zoology', 'Microbiology', 'Animal study', 'Immunogenetics'}","{'Bioinformatics', 'Genomics'}",set()
ft:gpt-3.5-turbo-1106:personal::8SDAGTmv,"Pea powdery mildew (PM) is an important fungal disease caused by an obligate biotroph, Erysiphe pisi (Ep), which significantly impacts pea production worldwide. The phytopathogen secretes a plethora of effectors, primarily through specialized infection structures termed haustoria, to establish a dynamic relationship with its host. To identify Ep effector candidates, a cDNA library of enriched haustoria from Ep-infected pea leaves was sequenced. The Ep transcriptome encodes 622 Ep candidate secreted proteins (CSPs), of which 167 were predicted to be candidate secreted effector proteins (CSEPs). Phylogenetic analysis indicates that Ep CSEPs are highly diverse, but, unlike cereal PM CSEPs, exhibit extensive sequence similarity with effectors from other PMs. Quantitative real-time PCR of a subset of EpCSEP/CSPs revealed that the majority are preferentially expressed in haustoria and exhibit infection stage-specific expression patterns. The functional roles of EpCSEP001, EpCSEP009 and EpCSP083 were probed by host-induced gene silencing (HIGS) via a double-stranded (ds) RNA-mediated RNAi approach. Foliar application of individual EpCSEP/CSP dsRNAs resulted in a marked reduction in PM disease symptoms. These findings were consistent with microscopic and molecular studies, suggesting that these Ep CSEP/CSPs play important roles in pea PM pathogenesis. Homology modelling revealed that EpCSEP001 and EpCSEP009 are analogous to fungal ribonucleases and belong to the RALPH family of effectors. This is the first study to identify and functionally validate candidate effectors from the agriculturally relevant pea PM, and highlights the utility of transcriptomics and HIGS to elucidate the key proteins associated with Ep pathogenesis.","['Amino Acid Sequence', 'Ascomycota/*genetics/*pathogenicity', 'Computer Simulation', 'Fungal Proteins/chemistry/genetics/*metabolism', 'Gene Expression Regulation, Fungal', 'Peas/*genetics', 'Plant Diseases/*microbiology', 'Plant Leaves/microbiology', 'RNA, Double-Stranded/metabolism', 'Structural Homology, Protein', 'Time Factors', 'Transcriptome/*genetics']","Computer science, Gene expression, Gene regulation, Pathology, Plant biology, Protein structure analysis, Proteins, RNA, Rare diseases, Structural biology, Transcription factors and regulatory sites, Transcriptomics","{'Gene regulation', 'Proteins', 'Transcriptomics', 'Structural biology', 'Gene expression', 'Medicinal chemistry', 'Microbiology', 'Biochemistry', 'Drug metabolism', 'Chemistry', 'Genetics'}","{'Plant biology', 'Proteins', 'Transcriptomics', 'Human genetics', 'Machine learning', 'Agricultural science', 'Genomics', 'Protein binding sites', 'Human biology', 'Bioinformatics', 'Bioengineering', 'Infectious disease'}",0.09523809523809523,0.16666666666666666,0.18181818181818182,"{'Plant biology', 'Human genetics', 'Machine learning', 'Agricultural science', 'Genomics', 'Protein binding sites', 'Human biology', 'Bioinformatics', 'Bioengineering', 'Infectious disease'}","{'Gene regulation', 'Structural biology', 'Medicinal chemistry', 'Gene expression', 'Microbiology', 'Biochemistry', 'Drug metabolism', 'Chemistry', 'Genetics'}","{'Gene regulation', 'Gene structure', 'Proteins', 'Plant biology', 'Genetic variation', 'Gene expression', 'Gene transcripts', 'Sequence analysis'}","{'Biotechnology', 'Data integration and warehousing', 'Biology', 'Cell biology', 'Agricultural science', 'Microbiology', 'Bioinformatics', 'Functional genomics'}",set()
ft:gpt-3.5-turbo-1106:personal::8SDAGTmv,"Differentiation proceeds along a continuum of increasingly fate-restricted intermediates, referred to as canalization<sup>1,2</sup>. Canalization is essential for stabilizing cell fate, but the mechanisms that underlie robust canalization are unclear. Here we show that the BRG1/BRM-associated factor (BAF) chromatin-remodelling complex ATPase gene Brm safeguards cell identity during directed cardiogenesis of mouse embryonic stem cells. Despite the establishment of a well-differentiated precardiac mesoderm, Brm<sup>-/-</sup> cells predominantly became neural precursors, violating germ layer assignment. Trajectory inference showed a sudden acquisition of a non-mesodermal identity in Brm<sup>-/-</sup> cells. Mechanistically, the loss of Brm prevented de novo accessibility of primed cardiac enhancers while increasing the expression of neurogenic factor POU3F1, preventing the binding of the neural suppressor REST and shifting the composition of BRG1 complexes. The identity switch caused by the Brm mutation was overcome by increasing BMP4 levels during mesoderm induction. Mathematical modelling supports these observations and demonstrates that Brm deletion affects cell fate trajectory by modifying saddle-node bifurcations<sup>2</sup>. In the mouse embryo, Brm deletion exacerbated mesoderm-deleted Brg1-mutant phenotypes, severely compromising cardiogenesis, and reveals an in vivo role for Brm. Our results show that Brm is a compensable safeguard of the fidelity of mesoderm chromatin states, and support a model in which developmental canalization is not a rigid irreversible path, but a highly plastic trajectory.","['Animals', 'Bone Morphogenetic Protein 4/metabolism', '*Cell Differentiation', '*Cell Lineage', 'Chromatin/genetics/metabolism', 'Chromatin Assembly and Disassembly', 'DNA Helicases/metabolism', 'Embryo, Mammalian', 'Epigenesis, Genetic', 'Female', 'Gene Expression Regulation', 'Male', 'Mesoderm/*cytology/*metabolism', 'Mice', 'Myocardium/metabolism', 'Myocytes, Cardiac/*cytology', 'Neurogenesis', 'Neurons/cytology/metabolism', 'Nuclear Proteins/metabolism', 'Octamer Transcription Factor-6/metabolism', 'Phenotype', 'Repressor Proteins/metabolism', 'Stem Cells/cytology', 'Time Factors', 'Transcription Factors/deficiency/genetics/*metabolism']","Animal study, Cardiology, DNA, Electrocardiography, Embryology, Epigenetics, Gene expression, Gene regulation, Genotype and phenotype, Laboratory animal science, Neurology, Proteins, Regenerative medicine, Sequence assembly, Transcription factors and regulatory sites, Zoology","{'Genotype and phenotype', 'Gene regulation', 'Sequence assembly', 'Zoology', 'Drug metabolism', 'Gene expression', 'Genetics'}","{'Systems medicine', 'Gene regulation', 'Laboratory animal science', 'Proteins', 'Developmental biology', 'Gene expression', 'Cell biology', 'Mouse clinic', 'Membrane and lipoproteins', 'Animal study', 'Regenerative medicine', 'Embryology', 'RNA', 'Model organisms', 'Chemistry'}",0.1,0.13333333333333333,0.2857142857142857,"{'Systems medicine', 'Laboratory animal science', 'Proteins', 'Developmental biology', 'Mouse clinic', 'Cell biology', 'Membrane and lipoproteins', 'Animal study', 'Regenerative medicine', 'Embryology', 'RNA', 'Model organisms', 'Chemistry'}","{'Genotype and phenotype', 'Zoology', 'Sequence assembly', 'Drug metabolism', 'Genetics'}","{'Gene regulation', 'Laboratory animal science', 'Cell culture collection', 'Proteins', 'Human genetics', 'Zoology', 'Synthetic biology', 'Animal study', 'Protein binding sites', 'Human biology', 'Drug metabolism', 'Embryology', 'Sequence analysis'}","{'Transcriptomics', 'Developmental biology', 'Molecular biology', 'Proteomics', 'Mouse clinic', 'Systems biology', 'Transcription factors and regulatory sites', 'Genomics', 'Protein interactions', 'Molecular genetics', 'Epigenetics', 'Genetics'}",set()
ft:gpt-3.5-turbo-1106:personal::8SDAGTmv,"The annual migration of a bird can involve thousands of kilometres of nonstop flight, requiring accurately timed seasonal changes in physiology and behaviour. Understanding the molecular mechanisms controlling this endogenous programme can provide functional and evolutionary insights into the circannual biological clock and the potential of migratory species to adapt to changing environments. Under naturally timed photoperiod conditions, we maintained captive Swainson's thrushes (Catharus ustulatus) and performed RNA sequencing (RNA-Seq) of the ventral hypothalamus and optic chiasma to evaluate transcriptome-wide gene expression changes of individuals in migratory condition. We found that 188 genes were differentially expressed in relation to migratory state, 86% of which have not been previously linked to avian migration. Focal hub genes were identified that are candidate variables responsible for the occurrence of migration (e.g. CRABP1). Numerous genes involved in cell adhesion, proliferation and motility were differentially expressed (including RHOJ, PAK1 and TLN1), suggesting that migration-related changes are regulated by seasonal neural plasticity.","['*Animal Migration', 'Animals', '*Gene Expression', 'Photoperiod', '*Seasons', 'Songbirds/*genetics', 'Transcriptome']","Animal study, Gene expression, Laboratory animal science, Pathology, Transcriptomics, Zoology","{'Zoology', 'Transcriptomics', 'Gene expression', 'Genetics'}","{'Laboratory animal science', 'Neurology', 'Zoology', 'Gene expression', 'Animal study', 'RNA'}",0.25,0.3333333333333333,0.5,"{'RNA', 'Laboratory animal science', 'Neurology', 'Animal study'}","{'Transcriptomics', 'Genetics'}","{'Gene regulation', 'Laboratory animal science', 'Zoology', 'Gene expression', 'Cell biology'}","{'Genomics', 'Molecular biology', 'Biology', 'Genetics'}",set()
ft:gpt-3.5-turbo-1106:personal::8SDAGTmv,"The utilization of methane, a potent greenhouse gas, is an important component of local and global carbon cycles that is characterized by tight linkages between methane-utilizing (methanotrophic) and nonmethanotrophic bacteria. It has been suggested that the methanotroph sustains these nonmethanotrophs by cross-feeding, because subsequent products of the methane oxidation pathway, such as methanol, represent alternative carbon sources. We established cocultures in a microcosm model system to determine the mechanism and substrate that underlay the observed cross-feeding in the environment. Lanthanum, a rare earth element, was applied because of its increasing importance in methylotrophy. We used co-occurring strains isolated from Lake Washington sediment that are involved in methane utilization: a methanotroph and two nonmethanotrophic methylotrophs. Gene-expression profiles and mutant analyses suggest that methanol is the dominant carbon and energy source the methanotroph provides to support growth of the nonmethanotrophs. However, in the presence of the nonmethanotroph, gene expression of the dominant methanol dehydrogenase (MDH) shifts from the lanthanide-dependent MDH (XoxF)-type, to the calcium-dependent MDH (MxaF)-type. Correspondingly, methanol is released into the medium only when the methanotroph expresses the MxaF-type MDH. These results suggest a cross-feeding mechanism in which the nonmethanotrophic partner induces a change in expression of methanotroph MDHs, resulting in release of methanol for its growth. This partner-induced change in gene expression that benefits the partner is a paradigm for microbial interactions that cannot be observed in studies of pure cultures, underscoring the importance of synthetic microbial community approaches to understand environmental microbiomes.","['Alcohol Oxidoreductases/metabolism', 'Bacteria/drug effects/*metabolism', 'Bacterial Proteins/metabolism', 'Carbon/*metabolism', 'Gene Expression Regulation, Bacterial/drug effects', 'Lanthanoid Series Elements/*pharmacology', 'Methane/*metabolism', 'Methanol/metabolism', 'Microbial Interactions/*drug effects', 'Oxidation-Reduction/drug effects', 'Washington']","Carbohydrates, Carbon cycle, Gene expression, Gene regulation, Microbial collection, Microbial ecology, Mobile genetic elements, Plant biology, Protein interactions, Proteins","{'Pharmacology', 'Proteins', 'Drug metabolism', 'Gene expression', 'Carbon cycle'}","{'Gene regulation', 'Microbial ecology', 'Gene expression', 'Open science', 'Microbiology', 'Metagenomics', 'Membrane and lipoproteins', 'Genomics', 'Chemistry', 'Carbon cycle'}",0.15384615384615385,0.2,0.4,"{'Gene regulation', 'Microbial ecology', 'Open science', 'Microbiology', 'Metagenomics', 'Membrane and lipoproteins', 'Genomics', 'Chemistry'}","{'Pharmacology', 'Drug metabolism', 'Proteins'}","{'Plant biology', 'Antimicrobial Resistance', 'Proteins', 'Microbial collection', 'Human genetics', 'Microbial ecology', 'Human biology'}","{'Environmental sciences', 'Gene regulation'}",set()
ft:gpt-3.5-turbo-1106:personal::8SDAGTmv,"We designed and constructed a genome-wide microarray with 22,987 70-mer oligonucleotides covering the presently known and predicted genes in the silkworm genome, and surveyed the gene expression in multiple silkworm tissues on day 3 of the fifth instar. Clusters of tissue-prevalent and tissue-specific genes and genes that are differentially expressed in different tissues were identified, and they reflect well major tissue-specific functions on the molecular level. The data presented in this study provide a new resource for annotating the silkworm genome.","['Animals', 'Bombyx/*genetics', 'Drosophila/genetics', 'Female', 'Gene Expression Profiling/*methods', '*Genome, Insect', 'Male', '*Oligonucleotide Array Sequence Analysis', 'Oligonucleotides/chemistry', 'Salivary Glands/metabolism', 'Sex Characteristics']","Animal study, Laboratory animal science, Sequence analysis, Zoology","{'Zoology', 'Biochemistry', 'Drug metabolism', 'Chemistry', 'Medicinal chemistry', 'Genetics'}","{'Zoology', 'Laboratory animal science', 'Animal study', 'Gene expression'}",0.1111111111111111,0.25,0.16666666666666666,"{'Laboratory animal science', 'Animal study', 'Gene expression'}","{'Medicinal chemistry', 'Biochemistry', 'Drug metabolism', 'Chemistry', 'Genetics'}","{'Zoology', 'Laboratory animal science', 'Animal study'}","{'Bioinformatics', 'Genomics', 'Molecular biology'}",set()
ft:gpt-3.5-turbo-1106:personal::8SDAGTmv,"Influenza A viruses (IAVs) quickly adapt to new environments and are well known to cross species barriers. To reveal a molecular basis for these phenomena, we compared the Ser/Thr and Tyr phosphoproteomes of murine lung epithelial cells early and late after infection with mouse-adapted SC35M virus or its nonadapted SC35 counterpart. With this analysis we identified a large set of upregulated Ser/Thr phosphorylations common to both viral genotypes, while Tyr phosphorylations showed little overlap. Most of the proteins undergoing massive changes of phosphorylation in response to both viruses regulate chromatin structure, RNA metabolism, and cell adhesion, including a focal adhesion kinase (FAK)-regulated network mediating the regulation of actin dynamics. IAV also affected phosphorylation of activation loops of 37 protein kinases, including FAK and several phosphatases, many of which were not previously implicated in influenza virus infection. Inhibition of FAK proved its contribution to IAV infection. Novel phosphorylation sites were found on IAV-encoded proteins, and the functional analysis of selected phosphorylation sites showed that they either support (NA Ser178) or inhibit (PB1 Thr223) virus propagation. Together, these data allow novel insights into IAV-triggered regulatory phosphorylation circuits and signaling networks.<b>IMPORTANCE</b> Infection with IAVs leads to the induction of complex signaling cascades, which apparently serve two opposing functions. On the one hand, the virus highjacks cellular signaling cascades in order to support its propagation; on the other hand, the host cell triggers antiviral signaling networks. Here we focused on IAV-triggered phosphorylation events in a systematic fashion by deep sequencing of the phosphoproteomes. This study revealed a plethora of newly phosphorylated proteins. We also identified 37 protein kinases and a range of phosphatases that are activated or inactivated following IAV infection. Moreover, we identified new phosphorylation sites on IAV-encoded proteins. Some of these phosphorylations support the enzymatic function of viral components, while other phosphorylations are inhibitory, as exemplified by PB1 Thr223 modification. Our global characterization of IAV-triggered patterns of phospho-proteins provides a rich resource to further understand host responses to infection at the level of phosphorylation-dependent signaling networks.","['Animals', 'Antiviral Agents/*pharmacology', 'Cell Line', 'Focal Adhesion Protein-Tyrosine Kinases/metabolism', 'Genome', 'Host-Pathogen Interactions/physiology', 'Humans', 'Influenza A virus/genetics/*metabolism', 'Mice', 'Models, Molecular', 'Orthomyxoviridae Infections/*metabolism', 'Phosphorylation', 'Protein Conformation', 'Proteome/*analysis', 'Signal Transduction/*drug effects', 'Viral Proteins/chemistry/metabolism']","Animal study, Human biology, Human genetics, Laboratory animal science, Molecular modelling, Plant biology, Protein interactions, Proteins, Proteomics, Zoology","{'Physiology', 'Sequence analysis', 'Proteins', 'Zoology', 'Medicinal chemistry', 'Pharmacology', 'Human biology', 'Molecular genetics', 'Biochemistry', 'Drug metabolism', 'Chemistry', 'Genetics'}","{'Gene regulation', 'Laboratory animal science', 'Cell culture collection', 'Proteins', 'Zoology', 'Gene expression', 'Animal study', 'RNA', 'Chemistry', 'Critical care medicine'}",0.15789473684210525,0.3,0.25,"{'Gene regulation', 'Laboratory animal science', 'Cell culture collection', 'Gene expression', 'Animal study', 'RNA', 'Critical care medicine'}","{'Physiology', 'Medicinal chemistry', 'Pharmacology', 'Human biology', 'Molecular genetics', 'Biochemistry', 'Drug metabolism', 'Genetics', 'Sequence analysis'}","{'Immunoproteins and antigens', 'Gene regulation', 'Laboratory animal science', 'Cell culture collection', 'Gene expression', 'DNA binding sites', 'Animal study', 'Pathology', 'Protein variants'}","{'Proteomics', 'Molecular biology', 'Cell biology', 'Bioinformatics', 'Genetics', 'Infectious disease'}",set()
ft:gpt-3.5-turbo-1106:personal::8SDAGTmv,"Activating mutations in JAK1 have been reported in acute lymphoblastic leukemias (ALLs). In this study, we found a type I interferon (IFN) transcriptional signature in JAK1 mutation-positive human ALL samples. This signature was recapitulated in vitro by the expression of JAK1 mutants in BW5147 and BaF3 hematopoietic cell lines. Binding of JAK1 to the IFN receptor was essential because mutations in the FERM domain abrogated this effect. Beside the constitutive activation of the type I IFN signaling cascade, JAK1 mutations also strongly potentiated the response to IFN in vitro. Typically, the proliferation of cell lines expressing JAK1(A634D) was abrogated by type I IFNs. Interestingly, we found that different JAK1 mutations differentially potentiate responses to type I IFNs or to interleukin-9, another cytokine using JAK1 to mediate its effects. This suggests that the type of mutation influences the specificity of the effect on distinct cytokine receptor signaling. Finally, we also showed in an in vivo leukemia model that cells expressing JAK1(A634D) are hypersensitive to the antiproliferative and antitumorigenic effect of type I IFN, suggesting that type I IFNs should be considered as a potential therapy for ALL with JAK1-activating mutations.","['Animals', 'Blotting, Western', 'Cell Line, Tumor', 'Cell Proliferation/drug effects', 'Clinical Trials as Topic', 'Female', 'Gene Expression', 'Humans', 'Interferon Type I/*immunology/metabolism/pharmacology', 'Janus Kinase 1/*genetics/metabolism', 'Mice', 'Mice, Knockout', 'Mutation', 'Oligonucleotide Array Sequence Analysis', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*genetics/metabolism', 'Reverse Transcriptase Polymerase Chain Reaction', 'Signal Transduction/*physiology', 'Transcription, Genetic', 'Transfection']","Animal study, DNA mutation, Gene expression, Human biology, Human genetics, Laboratory animal science, Preclinical and clinical studies, Sequence analysis, Zoology","{'Physiology', 'Immunoinformatics', 'Zoology', 'Immunogenetics', 'Gene expression', 'Pharmacology', 'Human biology', 'Immunology', 'Drug metabolism', 'Genetics', 'DNA mutation'}","{'Laboratory animal science', 'Antimicrobial Resistance', 'Proteins', 'Human genetics', 'Zoology', 'Rare diseases', 'Human biology', 'RNA', 'Sequence analysis'}",0.1111111111111111,0.2222222222222222,0.18181818181818182,"{'Laboratory animal science', 'Antimicrobial Resistance', 'Proteins', 'Human genetics', 'Rare diseases', 'RNA', 'Sequence analysis'}","{'DNA mutation', 'Physiology', 'Immunoinformatics', 'Gene expression', 'Pharmacology', 'Immunology', 'Drug metabolism', 'Genetics', 'Immunogenetics'}","{'Gene regulation', 'Laboratory animal science', 'Proteins', 'Human genetics', 'Zoology', 'Gene expression', 'Sample collections', 'Animal study', 'Human biology'}","{'Biotechnology', 'Proteomics', 'Molecular biology', 'Pharmacology', 'Genomics', 'Bioinformatics', 'Immunology', 'Oncology', 'Genetics'}",set()
ft:gpt-3.5-turbo-1106:personal::8SDAGTmv,"DNA recombination is required for effective segregation and diversification of genomes and for the successful completion of meiosis. Recent studies in various species hybrids have demonstrated a genetic link between DNA recombination and speciation. Consistent with this, we observed a striking suppression of recombination in the hybrids between two nematodes, the hermaphroditic Caenorhabditis briggsae and the gonochoristic C. nigoni. To unravel the molecular basis underlying the recombination suppression in their hybrids, we generated a C. nigoni genome with chromosome-level contiguity and produced an improved C. briggsae genome with resolved gaps up to 2.8 Mb. The genome alignment reveals not only high sequence divergences but also pervasive intra- and inter-chromosomal sequence re-arrangements between the two species, which are plausible culprits for the observed suppression. Comparison of recombination boundary sequences suggests that recombination in the hybrid requires extensive sequence homology, which is rarely seen between the two genomes. The new genomes and genomic libraries form invaluable resources for studying genome evolution, hybrid incompatibilities and sex evolution for this pair of model species.","['Animals', 'Base Sequence', 'Biological Evolution', 'Caenorhabditis/classification/*genetics', 'Chimera/*genetics', 'Chromosome Mapping', 'Crosses, Genetic', 'Female', '*Genome', 'Genomic Library', 'Hermaphroditic Organisms/*genetics', 'Male', 'Meiosis', '*Recombination, Genetic', 'Sequence Alignment']","Animal study, Clone library, DNA replication and recombination, Evolutionary biology, Genetics, Genomics, Laboratory animal science, Model organisms, Zoology","{'Zoology', 'DNA replication and recombination', 'Genetics'}","{'Genotype and phenotype', 'Laboratory animal science', 'DNA polymorphism', 'Zoology', 'DNA replication and recombination', 'DNA binding sites', 'Reproductive health', 'Animal study', 'Sequence analysis'}",0.2,0.2222222222222222,0.6666666666666666,"{'Genotype and phenotype', 'Laboratory animal science', 'DNA polymorphism', 'DNA binding sites', 'Reproductive health', 'Animal study', 'Sequence analysis'}",{'Genetics'},"{'Gene regulation', 'Laboratory animal science', 'Zoology', 'Gene expression', 'Animal study', 'Model organisms', 'Genetic variation'}","{'Comparative genomics', 'DNA replication and recombination'}",set()
ft:gpt-3.5-turbo-1106:personal::8SDAGTmv,"Newborns are frequently affected by mucocutaneous candidiasis. Th17 cells essentially limit mucosal invasion by commensal <i>Candida</i> spp. Here, we sought to understand the molecular basis for the developmental lack of Th17 cell responses in circulating blood neonatal T cells. Naive cord blood CD4 T cells stimulated in Th17-differentiating conditions inherently produced high levels of the interleukin-22 immunoregulatory cytokine, particularly in the presence of neonatal antigen-presenting cells. A genome-wide transcriptome analysis comparing neonatal and adult naïve CD4 T cells <i>ex vivo</i> revealed major developmental differences in gene networks regulating Small Drosophila Mothers Against Decapentaplegic (SMAD) and Signal Transducer and Activator of Transcription 3 (STAT3) signaling. These changes were functionally validated by experiments showing that the requirement for TGF-β in human Th17 cell differentiation is age-dependent. Moreover, STAT3 activity was profoundly diminished while overexpression of the <i>STAT3</i> gene restored Th17 cell differentiation capacity in neonatal T cells. These data reveal that Th17 cell responses are developmentally regulated at the gene expression level in human neonates. These developmental changes may protect newborns against pathological Th17 cell responses, at the same time increasing their susceptibility to mucocutaneous candidiasis.","['Age Factors', 'Cell Differentiation/genetics/immunology', 'Cytokines/biosynthesis', 'Humans', '*Immunomodulation', 'Infant, Newborn', 'Interleukins/*metabolism', 'Lymphocyte Activation/immunology', 'STAT3 Transcription Factor/metabolism', 'T-Lymphocyte Subsets/immunology/metabolism', 'Th17 Cells/*immunology/*metabolism', 'Transforming Growth Factor beta/metabolism']","Cytogenetics, Human biology, Human genetics, Immunogenetics, Immunology, Immunomics, Protein interactions, Transcription factors and regulatory sites","{'Human biology', 'Immunology', 'Drug metabolism', 'Genetics', 'Immunogenetics'}","{'Laboratory animal science', 'Proteins', 'Transcriptomics', 'Human genetics', 'Zoology', 'Animal study', 'Human biology', 'Infectious disease'}",0.08333333333333333,0.125,0.2,"{'Laboratory animal science', 'Proteins', 'Transcriptomics', 'Human genetics', 'Zoology', 'Animal study', 'Infectious disease'}","{'Immunology', 'Drug metabolism', 'Immunogenetics', 'Genetics'}","{'Proteins', 'Human genetics', 'Zoology', 'Gene expression', 'Animal study', 'Sequence assembly', 'Human biology', 'Sequence analysis'}",set(),set()
