Study,Summary,Ground Truth,Model,Predictions,Filtered Predictions
SHINE Cluster Randomized Trial,"The SHINE trial was a cluster-randomized trial that sought to determine the independent and combined effects of improved household water, sanitation and hygiene (WASH) and improved infant and young child feeding (IYCF) on length and hemoglobin concentrations among children at 18 months of age living in 2 rural districts in Zimbabwe. Clusters were defined as a catchment area of 1-4 community-based village health workers from the Zimbabwe Ministry of Health and Child Care. Clusters were randomized to one of four intervention arms - 1) standard of care, 2) infant and young child feeding intervention (IYCF), 3) WASH intervention, and 4) combined IYCF + WASH. Data collection was performed at baseline, 32 weeks gestation and at 1, 3, 6, 12, 18 months postpartum.","Infectious disease, Public health and epidemiology, Preclinical and clinical studies",gpt-3.5-turbo,"Environmental sciences, Epidemiology, Pediatrics",Environmental sciences
WASH Benefits Kenya Cluster Randomized Trial,"WASH Benefits Kenya was a cluster-randomized trial that assessed improvements in water quality, sanitation, handwashing (WASH interventions) and child nutrition on the primary outcomes of child growth and diarrhea. Geographically matched clusters (groups of household compounds) were randomized to one of six intervention arms (1. water quality, 2. sanitation, 3. handwashing, 4. nutrition, 5. combined water quality + sanitation + handwashing, and 6. combined water quality + sanitation + handwashing + nutrition) or two control arms (1. active, and 2. passive). Newborns from rural households in Kenya were enrolled and outcomes were measured at 12 and 24 months after intervention delivery.","Infectious disease, Public health and epidemiology, Preclinical and clinical studies",gpt-3.5-turbo,"Agricultural science, Environmental sciences, Public health and epidemiology","Environmental sciences, Agricultural science, Public health and epidemiology"
India ICEMR Cohort,A longitudinal cohort study of malaria in different transmission settings was conducted at two sites in India. Participants of all ages were randomly identified from household censuses that were conducted and visited roughly every 3 months.,"Infectious disease, Public health and epidemiology, Preclinical and clinical studies",gpt-3.5-turbo,"Epidemiology, Infectious disease, Longitudinal study",Infectious disease
VIDA Case Control,"The Vaccine Impact on Diarrhea in Africa (VIDA) is a prospective, case control study to assess the causes and burden of diarrhea in children under five and determine the effectiveness of rotavirus vaccine at three sites in sub-Saharan Africa. Each site recruited moderate-to-severe diarrheal cases enrolled in three age strata from Sentinel Health Centres within the demographic surveillance system (DSS). One to three diarrhea-free controls were enrolled within two weeks of the case and were matched on age, gender, and residential area. Participants were assessed at enrollment and at a 60-day follow-up visit.","Infectious disease, Public health and epidemiology, Preclinical and clinical studies",gpt-3.5-turbo,"Infectious disease, Pediatrics, Vaccinology","Infectious disease, Vaccinology"
Amazonia ICEMR2- Brazil Rio Azul,"Epidemiology of malaria transmission in riverine communities- Rio Azul, Acre, Brazil","Infectious disease, Public health and epidemiology, Preclinical and clinical studies",gpt-3.5-turbo,"Infectious disease, Epidemiology, Public health and epidemiology","Infectious disease, Public health and epidemiology"
PRISM ICEMR Cohort,"The Program for Resistance, Immunology, Surveillance and Modeling of Malaria in Uganda (PRISM) was a longitudinal cohort study conducted in different transmission settings in Uganda. All children 6 months to 10 years old within a household and up to one primary caregiver were enrolled in a dynamic cohort, and children were excluded from follow-up after reaching 11 years of age. Participants had routine clinic visits roughly every 3 months and attended a study clinic any time they became ill.","Infectious disease, Public health and epidemiology, Preclinical and clinical studies",gpt-3.5-turbo,"Infectious disease, Immunology, Epidemiology","Infectious disease, Immunology"
South Asia ICEMR Surveillance,A health center surveillance study of malaria was conducted in India. Febrile patients from 1-65 years old were recruited if they had a malaria-positive RDT or blood smear. Participants were followed every day of hospitalization.,"Infectious disease, Public health and epidemiology, Preclinical and clinical studies",gpt-3.5-turbo,"Infectious disease, Epidemiology, Public health and epidemiology","Infectious disease, Public health and epidemiology"
PERCH Case Control,"The Pneumonia Etiology Research for Child Health (PERCH) study was a prospective, multi-center, case-control study of respiratory disease in children 1-59 months of age. Each site recruited cases with severe or very severe pneumonia from hospitals, randomly selected controls from the community, and age-frequency matched cases and controls. Participant observations were assessed at enrollment, and cases were followed up at 24 hours, 48 hours, and 30 days. This is a merged dataset from all 7 study sites and had been made available for online exploratory data analysis of aggregate data.","Infectious disease, Public health and epidemiology, Preclinical and clinical studies",gpt-3.5-turbo,"Infectious disease, Pediatrics, Data analysis",Infectious disease
India ICEMR Behavior Cross-sectional,"A cross-sectional survey was conducted in Sundargarh, India to investigate the behavioral aspects of malaria risk. Participants of all ages were randomly identified from household censuses and were surveyed once.","Infectious disease, Public health and epidemiology, Preclinical and clinical studies",gpt-3.5-turbo,"Infectious disease, Epidemiology, Behavioral sciences",Infectious disease
GEMS1 HUAS/HUAS Lite Survey,"The Global Enteric Multicenter Study (GEMS) 1 HUAS/HUAS Lite surveys were three community-based Healthcare Services Utilization and Attitudes Surveys (HUAS, HUAS lite, and HUAS lite - Kenya) conducted in conjunction with the GEMS1 case control study. These cross-sectional surveys provide data on where parents seek care when their children have diarrheal disease, and their attitudes and practices concerning diarrhea, its prevention, and treatment.","Infectious disease, Public health and epidemiology, Preclinical and clinical studies",gpt-3.5-turbo,"Public health and epidemiology, Gastroenterology, Healthcare Services Utilization and Attitudes Surveys","Gastroenterology, Public health and epidemiology"
Kalifabougou Malaria Cohort,"A longitudinal cohort study of malaria was conducted in Kalifabougou, Mali. Healthy individuals 3-25 years were initally enrolled, with subsequent periodic enrollment of additional healthy volunteers. Participants had monthly or weekly scheduled visits and would come to the clinic for unscheduled visits when sick.","Infectious disease, Public health and epidemiology, Preclinical and clinical studies",gpt-3.5-turbo,"Infectious disease, Epidemiology, Longitudinal study.",Infectious disease
GEMS1A Case Control,"The Global Enteric Multi-Center Study (GEMS) was a prospective, multi-center, case-control study of acute diarrhea in children 0-59 months of age. GEMS-1A is a one-year follow-on of GEMS looking at both moderate-to-severe diarrhea and less severe diarrhea cases. Each site recruited cases with diarrhea from hospitals or ambulatory facilities and up to three matched community controls per case. Participants were assessed at enrollment and at a 60-day follow-up visit.","Infectious disease, Public health and epidemiology, Preclinical and clinical studies",gpt-3.5-turbo,"Epidemiology, Pediatrics, Gastroenterology",Gastroenterology
India ICEMR Severe P. vivax and falciparum Cohort,A hospital-based cohort study was conducted to compare severe malaria morbidity due to Plasmodium falciparum and Plasmodium vivax. Patients admitted to the hospital with severe malaria were enrolled and followed until discharge.,"Infectious disease, Public health and epidemiology, Preclinical and clinical studies",gpt-3.5-turbo,"Infectious disease, Parasitology, Epidemiology","Infectious disease, Parasitology"
Preventing Congenital Syphilis Cluster Randomized Trial,"The Preventing Congenital Syphilis study was a cluster randomized trial conducted in Kinshasa and Lusaka at 26 antenatal care clinics. All women were eligble to enroll at their first visit. Data was collected at the first antenatal care visit, and women who tested positive for syphilis but were not treated were followed-up to ensure they received treatment before delivery.","Infectious disease, Public health and epidemiology, Preclinical and clinical studies",gpt-3.5-turbo,"Infectious disease, Gynaecology and obstetrics, Public health and epidemiology","Infectious disease, Gynaecology and obstetrics, Public health and epidemiology"
Jilinde Costing Study of PrEP in Kenya,"In order to help government of Kenya to better understand the cost of scaling up oral pre-exposure prophylaxis (PrEP), this Jilinde study was conducted to assess the cost of PrEP for various Key and Vulnerable Populations (KVPs) using various models of service delivery and geographic regions of Kenya. From October 2017 to August 2018, 1890 participants were surveyed from the service delivery perspective and the client perspective in Kenya.","Infectious disease, Public health and epidemiology, Preclinical and clinical studies",gpt-3.5-turbo,"Epidemiology, Health economics, Public health and epidemiology",Public health and epidemiology
India ICEMR Meghalaya Cross-sectional,"A cross-sectional survey was conducted in Meghalaya, India to assess the individual and village-level patterns of Plasmodium infection. Participants aged 1-69 were randomly identified from household censuses and were surveyed with resampling the following year.","Infectious disease, Public health and epidemiology, Preclinical and clinical studies",gpt-3.5-turbo,"Infectious disease, Epidemiology, Public health and epidemiology","Infectious disease, Public health and epidemiology"
SIP Cohort,A longitudinal cohort study of preterm birth was conducted in 3 different regions of Ethiopia. Preterm infants <7 days old were enrolled and followed over the first 28 days of life or until death. Infants in the NICU were followed twice daily while infants discharged home were followed weekly. Autopsy or MITS was performed for infants who died with parental consent.,"Infectious disease, Public health and epidemiology, Preclinical and clinical studies",gpt-3.5-turbo,"Medicine, Pediatrics, Epidemiology",Medicine
India ICEMR Fever Surveillance,"A health center-based surveillance study was conducted to identify non-malarial causes of acute febrile illness. Patients from 1-70 years old who were febrile or reported a fever in the previous 48 hours and who had been triaged and found negative for malaria were enrolled. Participant observations were assessed at enrollment, and a few participants had 2 follow-up visits each.","Infectious disease, Public health and epidemiology, Preclinical and clinical studies",gpt-3.5-turbo,"Infectious disease, Epidemiology, Clinical medicine",Infectious disease
SCORE Niger S. haematobium Cluster Randomized Trial,"To provide an evidence base for cost-effective schistosomiasis control, a five-year study cluster-randomised trial in Niger investigated six possible combinations of annual or biannual community-wide treatment, school-based treatment, and holidays from mass treatment over four years. The primary outcome of interest was prevalence and intensity of Schistosoma haematobium among 100 children aged 9-12 years sampled each year in each village. The relative reduction of prevalence was greater in biannual compared with annual treatment across all arms; however, the only significant difference was seen in areas with a high starting prevalence.","Infectious disease, Public health and epidemiology, Preclinical and clinical studies",gpt-3.5-turbo,"Epidemiology, Parasitology, Public health and epidemiology","Parasitology, Public health and epidemiology"
Asia Pacific ICEMR Cambodian Cross-sectional,A cross-sectional study of malaria was conducted in Cambodia. Participants 2-80 years old living in selected households and who had been living in the study area for >3 months were surveyed.,"Infectious disease, Public health and epidemiology, Preclinical and clinical studies",gpt-3.5-turbo,"Infectious disease, Epidemiology, Public health and epidemiology","Infectious disease, Public health and epidemiology"
LAKANA Cluster Randomized Trial,The Large-scale Assessment of the Key health-promoting Activities of two New mass drug administration regimens with Azithromycin trial (LAKANA) has been designed to address the impact on mortality of quarterly and biannual azithromycin MDA when delivered to 1-11-month old infants in a high-mortality setting where malaria is holoendemic and there is a seasonal malaria chemoprevention (SMC) program in place.,"Infectious disease, Public health and epidemiology, Preclinical and clinical studies",gpt-3.5-turbo,"Clinical immunology and immunotherapeutics, Infectious disease, Pediatrics",Infectious disease
PRISM2 ICEMR Cohort,"The Program for Resistance, Immunology, Surveillance and Modeling of Malaria in Uganda 2 (PRISM2) is a longitudinal cohort study. Households were recruited for a dynamic cohort if they had at least 2 members under the age of 10, no more than 9 residents, and no plans to move in the next 2 years. Mosquito collections were performed every 2 weeks, routine clinic visits occurred every 4 weeks, and participants attended a study clinic any time they became ill.","Infectious disease, Public health and epidemiology, Preclinical and clinical studies",gpt-3.5-turbo,"Epidemiology, Infectious disease, Clinical medicine",Infectious disease
BetterBirth Cluster Randomized Trial,The BetterBirth study was a cluster randomized trial conducted in India at 120 health facilities which aimed to evaluate the WHO Safe Childbirth Checklist. Women were enrolled at delivery and followed up once. Data was collected about implementation and attitudes towards the checklist and availability of supplies in clinics repeatedly over the course of the study.,"Infectious disease, Public health and epidemiology, Preclinical and clinical studies",gpt-3.5-turbo,"Clinical medicine, Healthcare, Data collection",
SCORE Burundi Mapping Cross-sectional,"The Schistosomiasis Consortium for Operational Research and Evaluation (SCORE) supported the mapping of Schistosoma mansoni prevalence in Burundi to determine the feasibility of moving toward elimination. A national survey of schoolchildren in Burundi used two detection methods- a single urine-circulating cathodic antigen rapid test and, in a subset of schools, duplicate Kato-Katz slide preparation from a single stool sample. The findings of this nationwide reassessment using the rapid test indicate that Schistosoma infection is still widespread in Burundi, although its average intensity is probably low.","Infectious disease, Public health and epidemiology, Preclinical and clinical studies",gpt-3.5-turbo,"Parasitology, Infectious disease, Public health and epidemiology","Parasitology, Infectious disease, Public health and epidemiology"
MAL-ED 0-60m Cohort,"The Etiology, Risk Factors, and Interactions of Enteric Infections and Malnutrition and the Consequences for Child Health Study (MAL-ED) was a multi-center longitudinal cohort study of enteropathogenic infection and undernutrition. Each site recruted 1 child per household within 17 days of birth and followed them for up to 60 months of age. More than one sample may have been collected on any given day of observation. A visual depiction of collection timpoints for various data types can be found below.","Infectious disease, Public health and epidemiology, Preclinical and clinical studies",gpt-3.5-turbo,"Infectious disease, Nutrition, Pediatrics",Infectious disease
VIDA HUCS Gambia Mali Survey,"During the course of the Vaccine Impact on Diarrhea in Africa (VIDA) study, a Health care Utilization and Coverage Survey (HUCS) was conducted semiannually as part of the Demographic Surveillance System (DSS) at each VIDA study site. In The Gambia and Mali, a random selection of children from three age strata was selected and the HUCS was conducted by the DSS team during their routine rounds. The goal of the survey was to assess rotavirus vaccine coverage and to determine where children in the DSS seek care for moderate-to-severe diarrhea.","Infectious disease, Public health and epidemiology, Preclinical and clinical studies",gpt-3.5-turbo,"Vaccinology, Gastroenterology, Pediatrics","Gastroenterology, Vaccinology"
