Name,Description,Model,Predictions,Hallucinations
Wischmeyer_ICU_microbiome,"Saliva, skin and fecal samples from patients admitted to the ICU",gpt-3.5-turbo,"{'Microbiology', 'Sample collections', 'Infectious disease'}",set()
"Mouse popliteal lymph node transcriptome response to a wild type West Nile virus (WNV), New York 99 Strain, and mutant WNV-E218A viruses [mRNA]","The purpose is to obtain samples for mRNA, miRNA, proteomics, lipidomics, metabolomics, and histopathology analysis in mouse cortex infected with wild-type West Nile virus (WNV; WNV-NY99 382), and mutant WNV-E218A (WNV-NY99 382 E218A 2 nt).",gpt-3.5-turbo,"{'Animal study', 'Transcriptomics', 'Molecular biology'}",set()
"Single cell RNA-seq analysis of bronchial epithelium in patients with severe SARS-CoV-2 pneumonia
","To test whether airway epithelial and immune cells in patients with severe SARS-CoV-2 pneumonia exhibit specific gene expression signatures (namely interferon-response signature) we have performed bronchoscopy on intubated patients with severe SARS-CoV-2 pneumonia and obtained bronchial brushings.
",gpt-3.5-turbo,"{'Genomics', 'Immunology', 'Infectious disease'}",set()
"E. coli Evolution on M9 Media
","E. coli Evolution on M9 Media
",gpt-3.5-turbo,"{'Microbial ecology', 'Microbiology', 'Evolutionary biology'}",set()
"Identification of Aztreonam and Mecilliinam hypersensitivity loci in Acinetobacter baumannii
","A. baumannii Tn-seq banks were grown in broth culture in the presence or absence of growth inhibiting concentrations of either aztreonam or mecillinam. After allowing 7-8 generations of growth, the banks were pooled and subjected to deep sequencing to identify insertions that confer hypersensitivity to antibiotics.
",gpt-3.5-turbo,"{'Antimicrobial Resistance', 'Microbiology', 'Biology'}",set()
"Primary human microvascular endothelial cells metabolome response to an icMERS coronavirus
","Metabolomics data from cell culture; Treated with wild-type MERS-CoV, MERS-CoV mutants and mockulum; 5 biological replicates; time points 0, 12, 24, 36 & 48 h [dataset license: CC0 1.0 Universal (CC0 1.0)]
",gpt-3.5-turbo,"{'Genetics', 'Cell biology', 'Infectious disease'}",set()
"GNPS_UCSD_U01_iARM_Set01_COM01_RPMI_Metabolomics_Untargeted_RP-C18
","UCSD U01 iARM Set 01 COM 01. Staphylococcus aureus in RPMI media. Untargeted RP-C18 HRLC-MS/MS. [dataset license: CC0 1.0 Universal (CC0 1.0)]
",gpt-3.5-turbo,"{'Microbiology', 'Metabolomics'}",{'RP-C18'}
"Defined Minimal Medium for Staphylococcus aureus
","Investigating a Defined Minimal Medium for Systems Analyses of multidrug resistant Staphylococcus aureus
",gpt-3.5-turbo,"{'Antimicrobial Resistance', 'Microbiology', 'Systems biology'}",set()
Protein-protein interaction map for SARS-CoV-2,APMS analysis of SARS-CoV-2 proteins to evaluate their protein-protein intearctions in HEK293T cells.,gpt-3.5-turbo,"{'Bioinformatics', 'Proteins', 'Protein interactions'}",set()
"Pseudomonas nitroreducens strain SC-1148-IPA-05, whole genome shotgun sequencing project
","This entry is the master record for a whole genome shotgun sequencing project and contains no sequence data.
",gpt-3.5-turbo,"{'Genomics', '""Data submission, annotation, and curation""', 'Computational biology'}",set()
"Primary human microvascular endothelial cells proteome response to an icMERS coronavirus
","Proteomics data from cell culture; Treated with wild-type MERS-CoV, MERS-CoV mutants and mockulum; 5 biological replicates; time points 0, 12, 24, 36 & 48 h [dataset license: CC0 1.0 Universal (CC0 1.0)]
",gpt-3.5-turbo,"{'Cell biology', 'Proteomics', 'Virology'}",set()
"Primary human fibroblasts proteome response to an icMERS coronavirus
","Proteomics data from cell culture; Treated with wild-type MERS-CoV, MERS-CoV mutants and mockulum; 5 biological replicates; time points 0, 12, 24, 36 & 48 h [dataset license: CC0 1.0 Universal (CC0 1.0)]
",gpt-3.5-turbo,"{'Cell biology', 'Proteomics', 'Virology'}",set()
"GNPS U01 COM12 D592 in CA-MHB
","Metabolomics, BCP, etc data from UCSD AMR U01 COM12 [dataset license: CC0 1.0 Universal (CC0 1.0)]
",gpt-3.5-turbo,"{'Biomarkers', 'Microbiology', 'Metabolomics'}",set()
Transcriptional Response of Mycobacterium tuberculosis H37Rv to Bedaquiline,"Bacteria commonly adapt to stresses by altering gene expression. To understand the response of M. tuberculosis (MTB) to bedaquiline, we performed transcriptomics over a time-course on MTB bacilli exposed to the drug.",gpt-3.5-turbo,"{'Transcriptomics', 'Transcription factors and regulatory sites', 'Drug discovery'}",set()
Circuits between infected alveolar macrophages and T cells in severe COVID-19,"Samples were collected as part of the Successful Clinical Response in Pneumonia Therapy (SCRIPT) Systems Biology Center, an observational study of patients with severe pneumonia, defined as those requiring mechanical ventilation. We collected bronchoalveolar lavage fluid samples from 88 patients with SARS-CoV-2-induced respiratory failure and 211 patients with known or suspected pneumonia from other pathogens and subjected them to flow cytometry and bulk transcriptomic profiling. In the majority of patients with SARS-CoV-2 infection, the alveolar space was persistently enriched in T cells and monocytes. Alveolar macrophages demonstrated interferon-response signature in samples from patients with COVID-19. ",gpt-3.5-turbo,"{'Respiratory medicine', 'Immunology', 'Infectious disease'}",set()
"GNPS U01 COM06 Metabolomics TCH1516 CA-MHB High-Resolution Dual-Polarity qTOF LC/MS Method
","Coordinated OMICs data collection as part of UCSD U01 ""Systems Biology Approach to Redefine Susceptibility Testing and Treatment of MDR Pathogens in the Context of Host Immunity"" [dataset license: CC0 1.0 Universal (CC0 1.0)]
",gpt-3.5-turbo,"{'Microbiology', 'Systems biology', 'Metabolomics'}",set()
"Microbiota of allo-HCT patients and Gram Negative Blood Stream Infections
","Thus study analyzes microbiota time series of allo-HCT bone marrow transplant patients at Memorial Sloan Kettering with a focus on gram negative blood stream infections.
",gpt-3.5-turbo,"{'Microbiology', 'Transcriptomics', 'Infectious disease'}",set()
"Primary human microvascular endothelial cells lipidome response to an icMERS coronavirus
","lipidomics data from cell culture; time points 0, 12, 24, 36 & 48 h [dataset license: CC0 1.0 Universal (CC0 1.0)]
",gpt-3.5-turbo,"{'Cell biology', 'Biochemistry', 'Virology'}",set()
Mouse cortical neuron transcriptional response to wild-type West Nile virus (WNV-NY) and mutant virus WNV E218A [mRNA],The purpose is to obtain samples for transcriptional analysis in triplicate wells using wild type West Nile virus (WNV NY99 clone 382; WNVWT) and mutant virus (WNVE218A) in mouse cortical neurons. This data set comprises two complete biological replicate experiments conducted in the same conditions and with data processed independently.,gpt-3.5-turbo,"{'Microbiology', 'Transcriptomics', 'Immunology'}",set()
"GNPS U01 COM4 Metabolomics LAC RPMI+10%LB July 30th 2017
","U01 COM4 Metabolomics LAC RPMI+10%LB July 30th 2017 Coordinated OMICs data collection as part of UCSD U01 ""Systems Biology Approach to Redefine Susceptibility Testing and Treatment of MDR Pathogens in the Context of Host Immunity"" [dataset license: CC0 1.0 Universal (CC0 1.0)]
",gpt-3.5-turbo,"{'Systems biology', 'Metabolomics', 'Drug discovery'}",set()
"Mouse granule cell layer neurons proteomics response to West Nile Virus (WNV)
","Proteomics data from mouse granule cell layer neurons; Treated with wild-type and mutant WNV, and mockulum [dataset license: CC0 1.0 Universal (CC0 1.0)]
",gpt-3.5-turbo,"{'Proteomics', 'Infectious disease', 'Mouse clinic'}",set()
Mouse granule cell neuron transcriptional response to wild-type West Nile virus (WNV-NY) and mutant virus WNV E218A (mRNA),The purpose is to obtain samples for transcriptional analysis in triplicate wells using wild type West Nile virus (WNV NY99 clone 382; WNVWT) and mutant virus (WNVE218A) in mouse granule cell neurons. This data set comprises two complete biological replicate experiments conducted in the same conditions and with data processed independently.,gpt-3.5-turbo,"{'Genetics', 'Transcriptomics', 'Virology'}",set()
"Dataset MSV000081920 is currently private. It has been deposited to MassIVE, but has not yet been publicly released.

","Dataset MSV000081920 is currently private. It has been deposited to MassIVE, but has not yet been publicly released.

",gpt-3.5-turbo,"{'Data integration and warehousing', '""Data submission, annotation, and curation""', 'Bioinformatics'}",set()
"genotyping by high throughput sequencing, genetic modification design","We performed genome-wide CRISPR KO screens in human Huh7.5.1 cells to select for mutations that render host cells resistant to viral infection by SARS-CoV-2, human coronavirus 229E and OC43.",gpt-3.5-turbo,"{'Genomics', 'Infectious disease'}",{'Host-pathogen interactions'}
Human Calu-3 cell transcriptome response to human interferon α [miRNA],"The purpose is to obtain samples for mRNA and miRNA analysis with and without interferon α treatment; in parallel, to obtain cell pellets to forward to PNNL for use in top-down proteomics pilot experiments",gpt-3.5-turbo,"{'Biomarkers', 'Transcriptomics', 'Proteomics'}",set()
"Immune Constraints on Antibiotic Resistance
","Genome sequence of Streptococcus pneumoniae following murine passaging
",gpt-3.5-turbo,"{'Genomics', 'Microbiology', 'Infectious disease'}",set()
"S.aureus USA100 D712 exposed to subinhibitory concentrations of Nafcillin
","S.aureus USA100 D712 was exposed to sub-inhibitory concentration of nafcillin in different media (CAMHB & RPMI+10% LB) and sample for RNAseq was collected after 3hrs. (mid-log phase). Replicate number (e.g. 1,2,3) represent biological replicates while alphabets(e.g. a,b,c) represents technical replicates",gpt-3.5-turbo,{'Antimicrobial Resistance'},{'Microbiology   RNA'}
"Primary human fibroblasts metabolome response to an icMERS coronavirus
","Metabolomics data from cell culture; time points 0, 12, 24, 36 & 48 h [dataset license: CC0 1.0 Universal (CC0 1.0)]
",gpt-3.5-turbo,"{'Cell biology', 'Computational biology', 'Metabolomics'}",set()
CRISPR_plasmid_MF782680,"CRISPR-cas9 mutagenesis plasmid Tn916 oriT plasmid pKM126, complete sequence",gpt-3.5-turbo,"{'Genetics', 'Bioinformatics', 'Molecular biology'}",set()
Immortalized human hepatocyte (IHH) mRNA response to interferon alpha treatment,The purpose of this experiment was to obtain samples for mRNA analysis in IHH cells infected with human interferon alpha.,gpt-3.5-turbo,"{'Cell biology', 'Immunology', 'Gene expression'}",set()
"GNPS U01 COM03 Metabolomics LAC CA-MHB High-Resolution Dual-Polarity qTOF LC/MS Method
","Coordinated OMICs data collection as part of UCSD U01 ""Systems Biology Approach to Redefine Susceptibility Testing and Treatment of MDR Pathogens in the Context of Host Immunity"" [dataset license: CC0 1.0 Universal (CC0 1.0)]
",gpt-3.5-turbo,"{'Systems biology', 'Metabolomics', 'Omics'}",set()
Transcriptional Regulatory Induced Phenotype (TRIP) screen raw sequence data for Mycobacterium tuberculosis response to isoniazid,"We developed Transcriptional Regulator Induced Phenotype (TRIP) screening, and applied it to find new mediators of drug susceptibility in M. tuberculosis (MTB). The TRIP screen exploits a library of 207 Transcription factor induction (TFI) strains, representing 97% of annotated MTB regulators. Each TFI strain is engineered for conditional induction of a single MTB TF and expression of its associated regulon. We chemically-trigger induction of the pooled library grown in absence and presence of the first-line anti-TB drug isoniazid, and we quantify the proportion of each TFI strain in the pool by next-generation sequencing to identify regulatory adaptations that alter fitness under these conditions.",gpt-3.5-turbo,"{'Microbiology', 'Molecular biology', 'Drug discovery'}",set()
OpenDengue: source data,"Sourcedata relevant to the original data source category that was searched, located and extracted was stored in a corresponding version-specific “.csv” file. This includes date accessed, url of main landing page, steps taken through website/sitemap navigation, relevant search terms used, and other relevant notes such as positioning on page. The data source can be identified and interrogated by looking up the record UUID in the sourcedata.csv file then checking the corresponding URL or the archived download of the source (source_files.zip) in the repository. 

The main OpenDengue datasets can be found here: https://doi.org/10.6084/m9.figshare.24259573.",gpt-3.5-turbo,"{'Data integration and warehousing', 'Data visualisation', 'Data management'}",set()
Lassa Fever in Post-Conflict Sierra Leone,"Background

Lassa fever (LF), an often-fatal hemorrhagic disease caused by Lassa virus (LASV), is a major public health threat in West Africa. When the violent civil conflict in Sierra Leone (1991 to 2002) ended, an international consortium assisted in restoration of the LF program at Kenema Government Hospital (KGH) in an area with the world's highest incidence of the disease.

Methodology/Principal Findings

Clinical and laboratory records of patients presenting to the KGH Lassa Ward in the post-conflict period were organized electronically. Recombinant antigen-based LF immunoassays were used to assess LASV antigenemia and LASV-specific antibodies in patients who met criteria for suspected LF. KGH has been reestablished as a center for LF treatment and research, with over 500 suspected cases now presenting yearly. Higher case fatality rates (CFRs) in LF patients were observed compared to studies conducted prior to the civil conflict. Different criteria for defining LF stages and differences in sensitivity of assays likely account for these differences. The highest incidence of LF in Sierra Leone was observed during the dry season. LF cases were observed in ten of Sierra Leone's thirteen districts, with numerous cases from outside the traditional endemic zone. Deaths in patients presenting with LASV antigenemia were skewed towards individuals less than 29 years of age. Women self-reporting as pregnant were significantly overrepresented among LASV antigenemic patients. The CFR of ribavirin-treated patients presenting early in acute infection was lower than in untreated subjects.

Conclusions/Significance

Lassa fever remains a major public health threat in Sierra Leone. Outreach activities should expand because LF may be more widespread in Sierra Leone than previously recognized. Enhanced case finding to ensure rapid diagnosis and treatment is imperative to reduce mortality. Even with ribavirin treatment, there was a high rate of fatalities underscoring the need to develop more effective and/or supplemental treatments for LF.",gpt-3.5-turbo,"{'Tropical medicine', 'Public health and epidemiology', 'Infectious disease'}",set()
"GNPS U01 COM01 Metabolomics LAC CA-MHB High-Resolution Dual-Polarity qTOF LC/MS Method
","Coordinated OMICs data collection as part of UCSD U01 ""Systems Biology Approach to Redefine Susceptibility Testing and Treatment of MDR Pathogens in the Context of Host Immunity"" [dataset license: CC0 1.0 Universal (CC0 1.0)]
",gpt-3.5-turbo,"{'""Data architecture, analysis and design""', 'Metabolomics', 'Omics'}",set()
Promoter Capture Hi-C performed on A549 cells in a SARS-CoV2 infection timecourse,"A549 cells expressing the ACE2 receptor were infected with SARS-CoV2, and pCHi-C was performed at 0 (mock), 8 and 24 hours post-infection. This repository provides the raw pCHi-C sequence reads and downstream processed CHiCAGO data (Rds files).",gpt-3.5-turbo,"{'Genomics', 'Molecular biology', 'Immunology'}",set()
"Human tracheobronchial epithelial (HTBE) cell transcriptome response to infection with H1N1, H3N2, and H5N1 influenza virus.
","Human tracheobronchial epithelial (HTBE) cells are considered to serve as a good correlate of influenza virus infection in the human respiratory tract. mRNA-Seq analysis was used to profile the cellular transcriptome of HTBE cells at multiple time points in response to infection with influenza A/California/04/09 (H1N1), A/Wyoming/03/03 (H3N2), and A/Vietnam/1203/04 (H5N1) HALo virus. The Influenza A/Vietnam/1203/04 (H5N1) HALo mutant virus is an attenuated H5N1 virus generated from wild-type Influenza A/Vietnam/1203/04 (H5N1) virus as described in Steel, J., et al. J Virol. 2009 Feb; 83(4):1742-53",gpt-3.5-turbo,"{'Bioinformatics', 'Transcriptomics', 'Virology'}",set()
Human monocyte-derived macrophage (MDM) transcriptome response to influenza A virus infection,"Human monocyte-derived macrophages (MDM) serve as a model for resident alveolar macrophages (AM) in the human respiratory tract. mRNA-Seq analysis was used to profile the cellular transcriptome of HTBE cells at multiple time points in response to infection with influenza A/California/04/09 (H1N1), A/Wyoming/03/03 (H3N2), and A/Vietnam/1203/04 (H5N1) HALo virus.",gpt-3.5-turbo,"{'Transcriptomics', 'Virology', 'Infectious disease'}",set()
"Mouse cortex metabolome response to West Nile Virus (WNV)
","Metabolomics data from mouse cortex; Treated with wild-type and mutant WNV, and mockulum [dataset license: CC0 1.0 Universal (CC0 1.0)]
",gpt-3.5-turbo,"{'Animal study', 'Metabolomics', 'Infectious disease'}",set()
"Mouse cerebral cortex neurons proteomics response to West Nile Virus (WNV)
","Proteomics data from mouse cerebral cortex neurons; Treated with wild-type and mutant WNV, and mockulum [dataset license: CC0 1.0 Universal (CC0 1.0)]
",gpt-3.5-turbo,"{'Neurobiology', 'Proteomics', 'Infectious disease'}",set()
"GNPS U01 COM14 TCH1516 in RPMI+10%LB
","Metabolomics, BCP, etc data from UCSD AMR U01 COM14 [dataset license: CC0 1.0 Universal (CC0 1.0)]
",gpt-3.5-turbo,"{'Bioinformatics', 'Antimicrobial Resistance', 'Metabolomics'}",set()
Gene expression analysis of Mtb-infected mouse alveolar macrophages from mice lacking Nrf2 in LysM- or CD11c-expressing cells,The aim of this study was to measure the immune response of alveolar macrophages (AMs) from mice lacking Nrf2 in LysM- or CD11c-expressing cells to intracellular Mtb infection in vivo. We characterized the transcriptional profile of murine Mtb-infected AMs after aerosol infection by sorting cells from bronchoalveolar lavage fluid and performing low-input RNA-sequencing.,gpt-3.5-turbo,"{'Gene expression', 'Immunology', 'Infectious disease'}",set()
AntibodyEscape,Analyze how mutations to the SARS-CoV-2 receptor binding domain (RBD) affect escape from monoclonal antibodies or polyclonal sera. ,gpt-3.5-turbo,"{'Molecular biology', 'Immunology', 'Infectious disease'}",set()
"GNPS_UCSD_U01_iARM_Set01_COM01_CA-MHB_Metabolomics_Untargeted_RP-C18
","UCSD U01 iARM Set 01 COM 01. Staphylococcus aureus in CA-MHB media. Untargeted RP-C18 HRLC-MS/MS. [dataset license: CC0 1.0 Universal (CC0 1.0)]
",gpt-3.5-turbo,"{'Microbiology', 'Metabolomics'}",{'Antibiotic Resistance'}
"Primary human microvascular endothelial cells lipidome response to an icMERS (GNPS)
","Lipidomics data from cell culture; time points 0, 12, 24, 36 & 48 h [dataset license: CC0 1.0 Universal (CC0 1.0)]
",gpt-3.5-turbo,"{'Data integration and warehousing', 'Cell biology', 'Drug discovery'}",set()
Primary human lung fibroblast cells transcriptome response to interferon αβ or interferon γ,To obtain samples for RNA analysis following treatment of primary human lung fibroblasts (FB)) with universal interferon alpha beta or interferon gamma.,gpt-3.5-turbo,"{'Cell biology', 'Transcriptomics', 'Immunology'}",set()
"Human Calu-3 cell proteome response to Middle Eastern Respiratory Syndrome (icMERS) coronavirus
","Proteomics data from Calu-3 cell culture; Treated with wild-type MERS-CoV, MERS-CoV mutants and mockulum; 5 biological replicates [dataset license: CC0 1.0 Universal (CC0 1.0)]
",gpt-3.5-turbo,"{'Cell biology', 'Biochemistry', 'Proteomics'}",set()
