Name,Description,Model,Predictions
HBM626.KXRZ.238,codex [cytokit + sprm] data from the spleen of a 14-year-old black or african american female,gpt-3.5-turbo,"Cell biology\tBiomedical science\tGenomics
"
HBM427.RVVD.276,slide-seq data from the kidney (right) of a 67-year-old white male,gpt-3.5-turbo,"Anatomy	Medicine	Human biology
"
HBM526.FFGJ.297,multiplex ion beam imaging data from the uterus of a 36.6-year-old asian donor of unknown sex,gpt-3.5-turbo,"Anatomy  	Biology  	Gynaecology and obstetrics
"
HBM927.DZCV.762,scirna-seq [salmon] data from the heart of a 53-year-old white male,gpt-3.5-turbo,"Bioinformatics	Molecular biology	Genetics
"
HBM873.QDLS.754,snatacseq (snare-seq2) data from the kidney (left) of a 45.0-year-old white female,gpt-3.5-turbo,"Genomics   Data acquisition   Human genetics
"
HBM556.KSFB.592,codex data from the spleen of a 21-year-old black or african american female,gpt-3.5-turbo,"Cell biology\tDNA\tHuman biology
"
HBM342.MWMW.936,snrnaseq (snare-seq2) data from the kidney (right) of a 57-year-old white female,gpt-3.5-turbo,"Biomedical science    RNA    Human biology
"
HBM553.MNTQ.265,snrnaseq (snare-seq2) data from the lung (right) of a 37-year-old black or african american male,gpt-3.5-turbo,"Human genetics    Molecular biology    Transcriptomics
"
HBM946.NWTV.278,codex [cytokit + sprm] data from the large intestine of a 54-year-old black or african american female,gpt-3.5-turbo,"Microbiology	Personalised medicine	Gastroenterology
"
HBM293.QGKG.996,snatac-seq [snapatac] data from the small intestine of a 54-year-old black or african american female,gpt-3.5-turbo,"Cell biology	Molecular biology	Human biology
"
HBM352.MDZF.598,codex [cytokit + sprm] data from the large intestine of a 30-year-old white male,gpt-3.5-turbo,"Microbiology	metagenomics	immunology
"
HBM769.NLGR.528,snrnaseq (snare-seq2) data from the kidney (right) of a 54.0-year-old white male,gpt-3.5-turbo,"Genetics	Transcriptomics	Molecular biology
"
HBM539.PKZN.553,multiplex ion beam imaging data from the uterus of a 23.2-year-old unknown female,gpt-3.5-turbo,"Anatomy	Microbiology	Women's health
"
HBM263.TLLN.467,scrna-seq (10x genomics v3) data from the spleen of a 21-year-old black or african american female,gpt-3.5-turbo,"Biomedical science	I Immunology	Immunology	RNA""
"
HBM577.NRCL.952,whole genome sequencing data from the large intestine of a 67-year-old white female,gpt-3.5-turbo,"Genetics	Gastroenterology	Microbiology
"
HBM673.TNZM.339,codex [cytokit + sprm] data from the lymph node of a 20-year-old white male,gpt-3.5-turbo,"Immunology	Zoology	Cell biology
"
HBM793.JDRF.289,snrna-seq [salmon] data from the kidney (right) of a 75-year-old white female,gpt-3.5-turbo,"Genetics	Genomics	Medicine
"
HBM373.FZMG.625,snrna-seq (10x genomics v3) data from the small intestine of a 24-year-old white male,gpt-3.5-turbo,"RNA   Small molecules   Genetics
"
