Name,Description,Model,Predictions,Hallucinations
HBM626.KXRZ.238,codex [cytokit + sprm] data from the spleen of a 14-year-old black or african american female,gpt-3.5-turbo,"{'Biomedical science', 'Cell biology', 'Genomics'}",set()
HBM427.RVVD.276,slide-seq data from the kidney (right) of a 67-year-old white male,gpt-3.5-turbo,"{'Human biology', 'Anatomy', 'Medicine'}",set()
HBM526.FFGJ.297,multiplex ion beam imaging data from the uterus of a 36.6-year-old asian donor of unknown sex,gpt-3.5-turbo,"{'Gynaecology and obstetrics', 'Biology', 'Anatomy'}",set()
HBM927.DZCV.762,scirna-seq [salmon] data from the heart of a 53-year-old white male,gpt-3.5-turbo,"{'Genetics', 'Bioinformatics', 'Molecular biology'}",set()
HBM873.QDLS.754,snatacseq (snare-seq2) data from the kidney (left) of a 45.0-year-old white female,gpt-3.5-turbo,"{'Genomics', 'Human genetics', 'Data acquisition'}",set()
HBM556.KSFB.592,codex data from the spleen of a 21-year-old black or african american female,gpt-3.5-turbo,"{'Cell biology', 'Human biology', 'DNA'}",set()
HBM342.MWMW.936,snrnaseq (snare-seq2) data from the kidney (right) of a 57-year-old white female,gpt-3.5-turbo,"{'Biomedical science', 'Human biology', 'RNA'}",set()
HBM553.MNTQ.265,snrnaseq (snare-seq2) data from the lung (right) of a 37-year-old black or african american male,gpt-3.5-turbo,"{'Transcriptomics', 'Molecular biology', 'Human genetics'}",set()
HBM946.NWTV.278,codex [cytokit + sprm] data from the large intestine of a 54-year-old black or african american female,gpt-3.5-turbo,"{'Gastroenterology', 'Microbiology', 'Personalised medicine'}",set()
HBM293.QGKG.996,snatac-seq [snapatac] data from the small intestine of a 54-year-old black or african american female,gpt-3.5-turbo,"{'Cell biology', 'Human biology', 'Molecular biology'}",set()
HBM352.MDZF.598,codex [cytokit + sprm] data from the large intestine of a 30-year-old white male,gpt-3.5-turbo,"{'Microbiology', 'Immunology'}","{'immunology', 'metagenomics'}"
HBM769.NLGR.528,snrnaseq (snare-seq2) data from the kidney (right) of a 54.0-year-old white male,gpt-3.5-turbo,"{'Genetics', 'Transcriptomics', 'Molecular biology'}",set()
HBM539.PKZN.553,multiplex ion beam imaging data from the uterus of a 23.2-year-old unknown female,gpt-3.5-turbo,"{'Microbiology', 'Anatomy'}","{""Women's health""}"
HBM263.TLLN.467,scrna-seq (10x genomics v3) data from the spleen of a 21-year-old black or african american female,gpt-3.5-turbo,"{'Biomedical science', 'Immunology', 'RNA'}",{'I Immunology'}
HBM577.NRCL.952,whole genome sequencing data from the large intestine of a 67-year-old white female,gpt-3.5-turbo,"{'Genetics', 'Gastroenterology', 'Microbiology'}",set()
HBM673.TNZM.339,codex [cytokit + sprm] data from the lymph node of a 20-year-old white male,gpt-3.5-turbo,"{'Cell biology', 'Zoology', 'Immunology'}",set()
HBM793.JDRF.289,snrna-seq [salmon] data from the kidney (right) of a 75-year-old white female,gpt-3.5-turbo,"{'Genetics', 'Genomics', 'Medicine'}",set()
HBM373.FZMG.625,snrna-seq (10x genomics v3) data from the small intestine of a 24-year-old white male,gpt-3.5-turbo,"{'Genetics', 'Small molecules', 'RNA'}",set()
HBM656.KSMZ.578,sciatac-seq [snapatac] data from the heart of a 55-year-old white female,gpt-3.5-turbo,"{'Genomics', 'Cardiology', 'Data integration and warehousing'}",set()
HBM576.LVBL.359,snatac-seq data from the large intestine of a 30-year-old white male,gpt-3.5-turbo,"{'Genetics', 'Microbiology', 'Molecular biology'}",set()
HBM895.DDXX.282,lc-ms data from the large intestine of a 67-year-old white female,gpt-3.5-turbo,"{'Microbiology', 'Biology', 'Proteomics'}",set()
HBM857.ZBDC.975,codex [cytokit + sprm] data from the thymus of a 21-year-old black or african american female,gpt-3.5-turbo,"{'Cell biology', 'Human biology', 'Immunology'}",set()
HBM483.KDBW.482,codex data from the lymph node of a 20-year-old white male,gpt-3.5-turbo,"{'Genetics', 'Human biology', 'Molecular biology'}",set()
HBM949.PNXL.623,snrna-seq (10x genomics v3) data from the large intestine of a 54-year-old black or african american female,gpt-3.5-turbo,"{'Genomics', 'Biotechnology', 'RNA'}",set()
HBM393.NWNB.684,snrnaseq (snare-seq2) data from the kidney (right) of a 28-year-old black or african american male,gpt-3.5-turbo,"{'Biomedical science', 'Genetics', 'Anatomy'}",set()
HBM753.BHLC.257,snatac-seq (snare-seq2) [snapatac] data from the kidney (right) of a 54.0-year-old white male,gpt-3.5-turbo,"{'Genetics', 'Human biology', 'Transcriptomics'}",set()
HBM462.KVWC.334,ms data from the large intestine of a 67-year-old white female,gpt-3.5-turbo,"{'Genetics', 'Microbiology', 'Human biology'}",set()
