Name,Description,Model,Predictions
M. tuberculosis oxidative phosphorylation inhibitor,"Identification of oxidative phosphorylation inhibitors in M. smegmatis
Purpose
Survival of M. tuberculosis is dependent on the existence of an energized plasma membrane, which couples nutrient oxidation to ATP synthesis via the production of an electrochemical gradient. This assay seeks to identify compounds that inhibit this process, also known as oxidative phosphorylation, utilizing inverted membrane vesicles from M. smegmatis, to assess the production of ATP via oxidative phosphorylation upon the addition of NADH. The NADH is then oxidized through a cascade of redox reactions, resulting in the formation of a proton gradient across the vesicle membrane. This proton gradient drives the synthesis of ATP from ADP and inorganic phosphate by the F1F0 ATP synthase.
Protocol
Compounds are dry-spotted into 384-well microtiter plates at a screening concentration of 10 uM. After compound addition, M. smegmatis inverted membrane vesicles were preincubated with compound for 30 min in a buffer consisting of 50 mM MOPS, pH 7.5, 10 mM MgCl2, 1 mM DTT, and 10 mM KH2P04. Then, 3 uL of NADH and ATP were added, at final concentrations of 2 mM and 100 uM, respectively, and incubated for 30 min. Finally, 2 mL of a 1:4 dilution (in PBS) of BacTiter-Glo was added to the plate and incubated for 5 min before measuring luminescence as a readout of ATP production on a ViewLux or Envision plate reader.
Readout
Luminescence; normalized to Robust Z-score (central reference: compounds).
Detection Method
luminescence
Detection Reagents
Bactiter-Glo
Components
inverted membrane vesicles; Bactiter-Glo
Drug Concetration
10  Ã‚ÂµM",gpt-3.5-turbo,Biochemistry	Compound libraries and screening	Microbiology
TB Intramacrophage Assay,"Full deck screen to identify novel compounds that inhibit intracellular M. tuberculosis via inducible fluoresence assay in the absence of INH. Compounds are also assayed for potentiation with known tuberculosis drugs by adding sub-therapeutic levels to the assay media.
Purpose
Mycobacterium tuberculosis represents an immense global public health problem, which has been exacerbated by the emergence of strains resistant to multiple antibiotics. This assay seeks to identify novel small molecules that restrict the growth of intracellular M. tuberculosis through a collaboration with the David Russell Laboratory at Cornell University.
Protocol
Macrophages (J774 cells from American Type Culture Collection) are seeded into 384-well black clear bottom plates. M. tuberculosis (Erdman(P606’::mKO-tetON)) is grown to mid-log phase in Middlebrook 7H9 OADC washed and syringed 6-times with 25G? tuberculin syringe. The de-clumped bacteria are diluted into pre-warmed infection media (DMEM, 10% fetal calf serum, 2.0 mM L-glutamine, and 1.0 mM sodium pyruvate) and are used to infect cells at a MOI of 4:1. Bacteria are added to the screening plates with a Janus Ministation (Perkin Elmer). Compound plates are prepared at Calibr with DMSO as a negative control and Rifampicin as a positive control. Before addition to cells, compounds are diluted in DMEM (no FBS) and are added to the screening plates 1 hour after infection to a final top concentration of 20 ?M. Plates are incubated for a total of 6 days at 37°C and 5% CO2. On day 4, 10 ?l of 1.4 ?g/mL anhydrotetracycline (ATc) was added per well (final concentration 200 ng/mL). Plates are returned to the incubator for an additional 2 days. On day 6 (48 h post-induction), Mtb mKO fluorescence is quantified using an Envision Multilabel plate reader (Perkin Elmer).


Readout
Fluorescence; Normalized to neutral control minus inhibitor
Detection Method
fluorescence is read to measure the signal from growing/surviving bacteria. both mtb growth inhibitors and activators are considered.

activity readout: replication inhibition/ organism death/ accelerated organism growth
assay readout: fluorescence
assay hit: antagonist, agonist, inverse agonist
both mtb growth inhibitors and also activators
curve direction, up or down with increasing compound concentration


Detection Reagents
None
Components
J774 Macrophages; M. tuberculosis (Erdman(P606’::mKO-tetON)); aTC
Drug Concetration
75nL from 10mM source backfill to 500nL",gpt-3.5-turbo,Biochemistry	Microbiology	Drug discovery
Crypto-C. parvum high-content imaging proliferation (Sterling Lab),"Phenotypic high-content imaging-based high-throughput screen against the protozoan pathogen C. parvum to find new small molecule inhibitors of Cryptosporidium, which causes diarrheal disease in humans.
Purpose
Cryptosporidium parvum and the related species Cryptosporidium hominis cause diarrheal disease in humans. The current standard of care is ineffective in patients most at risk of cryptosporidiosis. This is a phenotypic high-content imaging-based high-throughput screen against the protozoan pathogen C. parvum to find new small molecule inhibitors of Cryptosporidium. This is the largest screen against Cryptosporidium and one of the few in a 1536-well format. The assay measures inhibition of parasite proliferation within the human ileocecal colorectal adenocarcinoma cell line HCT-8; a commonly used cell line for studying Cryptosporidium spp. in vitro. HCI detection of this cell-based assay allows for concomitant measurement of Cryptosporidium parasite inhibition and host cell cytotoxicity.
Protocol
This specific ID is for the Sterling Parasitology Lab strain of C. parvum (IOWA strain), which has been routinely passaged through neonatal calves to propagate. For the assay, HCT-8 cells are seeded into 1536-well clear-bottom plates and incubated at 37C. 24 hours later, compounds are transferred (1.88 uM for primary screening and 25 uM top concentration for dose-response), and then excysted Cryptosporidium sporozoites and oocysts are dispensed onto cells. 48 hours later, cells are fixed with 4% paraformaldehyde. Cells are then washed, permeabilized with 0.25% Triton X-100 in PBS, blocked with SuperBlock (Thermo), and finally stained with a 1:10 dilution of Superblock with 1ug/mL FITC-tagged Vicia Villosa lectin and 3uM DAPI nuclear stain. Cells are then washed with PBS-T to remove residual stain and plates are sealed with aluminum adhesive seals. Plates are imaged (10x objective) on the CX5 Cellomics imager using the SpotDetector algorithm. Compounds that inhibit Cryptosporidium proliferation by >= 70% and do not inhibit HCT-8 growth by more than 40% are picked for dose response testing.
Readout
High-content imaging; normalized to neutral control minus inhibitor.
Detection Method
high-content imaging; nitazoxanide and floxuridine are used as positive controls, and dmso is the neutral control. spot counts are normalized by neutral controls minus inhibitors.
Detection Reagents
FITC 485/521
Components
C. parvum; HCT-8 cells; Detection reagent
Drug Concetration
2  Ã‚ÂµM",gpt-3.5-turbo,Parasitology	Zoology	Drug discovery
M. tuberculosis growth inhibition,"Inhibition of M. tuberculosis proliferation in standard 7H9 medium supplemented with oleic acid, albumin, dextrose, catalase, tyloxapol, and glycerol
Purpose
Mycobacterium tuberculosis represents an immense global public health problem, which has been exacerbated by the emergence of strains resistant to multiple antibiotics. This assay seeks to identify novel small molecules that restrict the growth of M. tuberculosis. This assay is specific to the Mtb strain H37Ra grown in standard Middlebrook 7H9 medium (no host cells) supplemented with OADC.
Protocol
Compounds are dry spotted into white 1536-well microtiter plates at 10uM screening concentration for primary screening at 20uM top concentration for dose-response reconfirmation. For the assay, 6uL of diluted H37Ra bacteria at a final OD600 of 0.025 is dispensed into pre-spotted assay plates. Cultures are allowed to grow for 72h at 37C. After incubation, viability is determined by measuring ATP content. 2 uL of BacTiter-Glo is added to wells and incubated 5 minutes. Luminescence is read on Perkin Elmer Viewlux.
Readout
Luminescence; normalized to neutral control minus inhibitor.
Detection Method
luminescence; rifampicin is used as a positive control and dmso is used as the neutral control. signal is normalized by neutral controls minus inhibitors.
Detection Reagents
BacTiter-Glo
Components
M. tuberculosis H37Ra in standard 7H9 medium; Bactiter-Glo
Drug Concetration
10  Ã‚ÂµM",gpt-3.5-turbo,Antimicrobial Resistance   Microbiology   Small molecules
Dual fluorescence reporter based intracellular nonreplicating MTB screen,"Phenotypic high-content imaging-based high-throughput screen against the intracellular nonreplicating Mycobacterium tuberculosis using a dual fluorescence reporter-based system.
Purpose
In order to more closely recapitulate human tuberculosis disease, intramacrophage screens may be more useful than assays with only extracellular bacteria. We have developed a dual fluorescence reporter-based assay with intracellular nonreplicating MTB. Compounds that are active against replicating MTB are not active in this assay. Green fluorescence indicates the presence of MTB; red fluorescence indicates viable MTB; Hoechst staining is nuclear staining of macrophage host cells. This assay is to screen for compounds that kill nonreplicating MTB directly, or indirectly by enhancing host cell defense mechanisms.
Protocol
J774 macrophage cells are infected with M. tuberculosis H37RvDK (‚àÜPan, ‚àÜRD1) at a MOI of 5:1. Infected cells are seeded (5000 cells/well; 6 uL/well) in clear-bottom 1536-well plates and incubated at 37C for 12 hours. After incubation, the medium is replaced with 6 uL of fresh cell culture medium. Compounds are then dispensed into assay plates and incubated at 37C for 48 hours. After incubation period, 2 uL of inducer is added to each well (150 ng/ml anhydrotetracycline) and the plates are incubated at 37C overnight. The next day, medium is replaced with 6 uL of fresh 1X PBS containing 1 ug/ml Hoechst 33342. Plates are then sealed with aluminum adhesive seals and scanned on the Thermo CX5 Cellomics imager using the SpotDetector algorithm within 24 hours (live cell imaging, time sensitive). 

Readout
High-content imaging, percent fluorescence, spot count normalized to neutral control minus inhibitor.
Detection Method
high-content imaging; rifampicin is used as a positive control, and dmso is the neutral control. spot counts (red and green channels) are normalized by neutral controls minus inhibitors.
Detection Reagents
Hoechst 33342
Components
J774 Macrophages; MTB H37RvDK (‚àÜPan, ‚àÜRD1); aTC; Hoechst 33342
Drug Concetration
10  Ã‚ÂµM",gpt-3.5-turbo,Infectious disease	Microbiology	Drug discovery
STING agonist,"Identification of mouse cross-reactive STING agonists
Purpose
To screen for STING agonist using a IFIT2 reporter RAW264.7 cell-line. DMXAA is currently the only non-nucleotide STING agonist in literature but failed to exert activity in human cells. Any valid screen hit may become the first-in-class tool compound. IFIT2 is a downstream gene of type I interferon, and therefore STING agonist should increase the expression of both IFIT2 and luciferase. The reporter is a secreted luciferase and is smaller than Gaussia.
Protocol
Dry echo dispense 10uM compound into 1536w white plates. Dry echo dispense 30uM DMXAA (positive control) into bottom half of column 46. Dispense the cells (5uL, 1.2x10^6 cells per mL) (Invigoen #rawl-isg) and incubate at 37C for 24h. Dispense the reading reagent (2uL, 1x, Quanti-Luc, Invivogen #rep-qlc2). Read in 5min.
Readout
luciferase; DMXAA as positive control and DMSO a neutral control.
Detection Method
luminescent reader (top read)
Detection Reagents
Quanti-Luc (Invivogen #rep-qlc2)
Components
RAW264.7 cell
Drug Concetration
10  Ã‚ÂµM",gpt-3.5-turbo,Biochemistry	Molecular biology	Cell biology
Wolbachia high-content imaging,"High content imaging, cell-based assay has been developed to identify compounds that reduce Wolbachia titer in host cells. Wolbachia is an endosymbiont of parasitic filarial nematodes, including ones that infect humans (like river blindness, elephantiasis)
Purpose
This high content imaging, cell-based assay has been developed to identify anti-wolbachial compounds. Wolbachia is an endosymbiont of parasitic filarial nematodes, including ones that infect humans, such as Onchocerca volvulus (which causes onchocerciasis, aka. river blindness), and Wuchereria bancrofti and Brugia spp. (which cause lymphatic filariasis, aka. elephantiasis). Without Wolbachia the long-lived (up to 15 years) adult worms become sterile and eventually die. Wolbachia bacteria also infect insect cells, and this assay uses the LDW1 Drosophila cell line, naturally infected with Wolbachia strain wMel. This is the first HCI assay to specifically label Wolbachia, one of the largest screening efforts to date, and the first anti-wolbachial assays in 1536-well format.
Protocol
Clear bottom 1536-well plates are coated with Concanavalin-A lectin to facilitate cell adhesion. Compounds are pre-spotted into coated plates (2.5 uM for primary screen and 12.5 uM top concentration for dose-response) and LDW1 cells are dispensed into prepared plates. Doxycycline and rifampicin are used as inhibitory controls and same volume of DMSO is used as the neutral control.
Readout
To quantify Wolbachia titer in host cells following a 6 day compound treatment the cells are fixed, stained specifically for Wolbachia using 16S rRNA FISH, imaged with a 10x objective and the images are analyzed for Wolbachia signal intensity. Host cell number is determined via DAPI staining.
Detection Method
high content imaging
Detection Reagents
DAPI 386/440 & Quasar 644/670
Components
LDW1 Drosophila cell line; Fluorescence In Situ Hybridization (FISH) probe
Drug Concetration
2.5  Ã‚ÂµM",gpt-3.5-turbo,Infectious disease	Population genetics	Drug discovery
P. falciparum (Dd2) Viability Assay,"72 hour cell based assay for the detection of antimalarials in the blood stage of the malaria parasite (P.falciparum, Dd2L strain) using SYBR Green that detects parasitic DNA as a measurement of viability.
Purpose
Detect compounds for inhibitory activity in the blood stage of the malaria parasite (P.falciparum, Dd2L strain) using a SYBR Green based assay. The SYBR Green assay detects the presence of malaria DNA in infected erythrocytes as a measure of parasite growth, proliferation and parasite growth inhibition by antimalarials.
Protocol
Pre-spot 10nL of compound previously dissolved in DMSO to 1536 black clear bottom assay plates using the ECHO acoustic liquid handler. As a secondary screen, compounds are tested in 11 point, 1:3 dose response from 12.5uM final concentration. Next, dispense 8uL of 0.3% parasitized human red blood cells (pRBC) type O+ at 2.5% hematocrit (Ht) in standard screening media (human serum-free 1640 RPMI medium supplemented with albumax, glucose and hypoxanthine) to pre-spotted plates. The Dd2L parasite strain was obtained from the David Fiddock lab and human blood from the TSRI Normal Blood Donor Service or Interstate Blood Bank. Incubate assay plates for 72 hours at 37 C in humidified low oxygen environment. After incubation, dispense 2uL of RBC Lysis Buffer with 10X SybrGreen (Invitrogen)per well. Let plates sit overnight at RT for complete lysis. Read fluorescence intensity (EX: 485 nm, EM: 535 nm) using a fluorescence reader (PerkinElmer EnVision multimode plate reader). Atovaquone or Artemisinin (12.5uM) is used as the inhibitor control.
Readout
Fluorescence Intensity (EX: 485 nm, EM: 535 nm), Normalized to neutral control minus inhibitor
Detection Method
fluorescence
Detection Reagents
485/535
Components
malaria parasite (P.falciparum, Dd2L strain); SybrGreen; parasitized human red blood cells
Drug Concetration
12.5  Ã‚ÂµM",gpt-3.5-turbo,Infectious disease	Population genetics	Pharmacology
Discovery of sporontocidals compounds as starting points for novel malaria causal prophylactics,"Identification of compounds that target P. falciparum sporozoites through a luminescent viability assay
Purpose
A transgenic P. falciparum reporter parasite was created by inserting a GFP::luc reporter gene under control of the circumsporozoite promoter in the Pf47 locus. These parasites show strong reporter expression in developing and mature sporozoites. To assess the effects of compounds on viability of sporozoite, salivary gland sporozoites were isolated from infected mosquitoes and incubated with test substance in microtiter plates. Twenty-four hours later, luciferase activity was determined as a measure for parasite viability.




Protocol
Fourteen to twenty-two days post infection with NF54-CGL, salivary glands of infected mosquitoes were isolated in L-15 (Leibovitz) medium (Lonza) supplemented with penicillin-streptomycin and L-glutamine and ground in a glass mortar to free the sporozoites. After determining the sporozoite count with a hematocytometer, sporozoites were diluted to the desired concentration with L-15 medium supplemented with penicillin-streptomycin and L-glutamine without (‚Äúincomplete medium‚Äù) or with (‚Äúcomplete medium‚Äù) 10% heat-inactivated fetal bovine serum (hi-FBS). For the screenings, 12 ¬µL/well of a 25,000 to 83,000 sporozoite/mL dilution (corresponding to 300-1,000 sporozoites/well) were dispensed using a Multidrop (Thermofisher) or an electronic multichannel (Ovation) in white 384-well plates (Proxiplate 384-TC Perkin Elmer) pre-spotted with the chemical library. For assay development, test of antimalarial drugs and for compounds issued from resynthesis, 6 ¬µL of a 167,000 sporozoite/mL dilution (corresponding to 1,000 sporozoites/well) were dispensed using an electronic multichannel in white 384-well plates containing 6 ¬µL of compounds diluted at two-fold the final concentration in incomplete or complete medium. In all cases, the compounds had been dissolved in DMSO, and the final DMSO concentration in the assay was 0.1%. Each plate contained vehicle (0.1% DMSO) and positive (100 nM to 1 ¬µM gramicidin) controls, which were used for normalization of the signals. The plates were incubated at 26¬?C with ambient gas in a humidity-controlled incubator for 24 hours, then 6 ¬µL of Bright Glo reagent (Promega) was added to the wells. After a three minute incubation, luciferase activity was measured using a Synergy 2 multi-purpose plate reader (Biotek, Winooski, VT).


Readout
Luminescence
Detection Method
bright glo reagent (promega) was added to the wells. after a three minute incubation, luciferase activity was measured using a synergy 2 multi-purpose plate reader (biotek, winooski, vt). all plates contained vehicle (0.1% dmso, max signal) and gramicidin (min signal) controls. the values from the min and max controls were used to calculate a z‚äô prime value and to scale the data between 0 and 100% inhibition. compounds showing >50% inhibition were selected for further analysis.
Detection Reagents
Brigh Glo (Promega)
Drug Concetration
2.5  Ã‚ÂµM",gpt-3.5-turbo,Antimicrobial Resistance	Iinfectious disease	Medicines research and development
Zika cytopathic effect inhibition in neuroblastoma cells (SH-SY5Y),"Inhibitors for cytopathic effects induced by Zika virus in SH-SY5Y neuroblastoma cells
Purpose
This assay is designed to identify inhibitors of CPE induced by Zika virus in a 4 day assay using SH-SY5Y cells. The Zika virus MR766 strain is non-virulent, experiments are carried out using BSL2 practices. SH-sy5y is a neuroblastoma cell line that is more relevant than Vero cells and permissive to Zika, the viral titer was measured by plaque assay (current titer: 90 million PFU/mL) and stored at -80C in culture medium.
Protocol
Compounds are pre-spotted into white solid 384, TC treated plates. Next, dispense 40uL/well of SH-sy5y cells (20,000 cells/well; medium: MEM:F12=1:1, FBS=2%, NEAA 1x)into the assay plates. Incubate assay plates at 37C for 2h then add 10uL/well of the Zika virus suspension (MOI=1.0). Incubate at 37C for 4 days. After the incubation period, dispense CellTiterGlo at 20uL/well (1:2 dilution with water)and let sit for 10 min at RT before reading luminescence signal on the Perkin Elmer ViewLux.
Readout
Luminescence, Normalized to stimulators minus neutral control
Detection Method
celltiterglo is used for the detection of atp as a measurement of cell viability.
Detection Reagents
CellTiterGlo
Components
SH-sy5y neuroblastoma cells; CelltiterGlo
Drug Concetration
2.5  Ã‚ÂµM",gpt-3.5-turbo,Cell biology\tDrug discovery\tVirology
