Name,Description,Model,Predictions,Ground Truth,Hallucinations,Jaccard Similarity,Precision,Recall,Exclusive Ground Truth,Exclusive Predictions,Weight,Broadness Score,overprediction penalty,penalty,Adjusted Weights
VIGET: A web portal for study of vaccine-induced host responses based on Reactome pathways and ImmPort data,"Host responses to vaccines are complex but important to investigate. To facilitate the study, we have developed a tool called Vaccine Induced Gene Expression Analysis Tool (VIGET), with the aim to provide an interactive online tool for users to efficiently and robustly analyze the host immune response gene expression data collected in the ImmPort database. VIGET allows users to select vaccines, choose ImmPort studies, set up analysis models by choosing confounding variables and two groups of samples having different vaccination times, and then perform differential expression analysis to select genes for pathway enrichment analysis and functional interaction network construction using the Reactome’s web services. VIGET provides features for users to compare results from two analyses, facilitating comparative response analysis across different demographic groups. VIGET uses the Vaccine Ontology (VO) to classify various types of vaccines such as live or inactivated flu vaccines, yellow fever vaccines, etc. Different variables are classified using our Vaccine Investigation Ontology (VIO). To showcase the utilities of VIGET, we conducted a longitudinal analysis of immune responses to yellow fever vaccines and found an intriguing complex activity response pattern of pathways in the immune system annotated in Reactome, demonstrating that VIGET is a valuable web portal that supports effective vaccine response studies using Reactome pathways and ImmPort data. The portal has been deployed at https://viget.violinet.org/.",gpt-3.5-turbo,"{'Data integration and warehousing', 'Bioinformatics', 'Immunology'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.2,0.3333333333333333,0.3333333333333333,"{'Infectious disease', 'Allergy, clinical immunology and immunotherapeutics'}","{'Data integration and warehousing', 'Bioinformatics'}",0.2,0.0,1.0,1.0,0.2
Dataset from T cell responses to H1N1v and a longitudinal study of seasonal influenza vaccination (TIV) SLVP015 2011 (See companion studies SDY311 2010 / SDY312 2009 / SDY314 2008 / SDY315 2012),No description,gpt-3.5-turbo,"{'Vaccinology', 'Infectious disease', 'Immunology'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.5,0.6666666666666666,0.6666666666666666,"{'Allergy, clinical immunology and immunotherapeutics'}",{'Vaccinology'},1.277777777777778,0.0,1.0,1.0,1.277777777777778
Dataset from T cell responses to H1N1v and a longitudinal study of seasonal influenza vaccination (TIV) SLVP015 2012 (See companion studies SDY311 2010 / SDY312 2009 / SDY314 2008 / SDY112 2011),No description,gpt-3.5-turbo,"{'Vaccinology', 'Infectious disease', 'Immunology'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.5,0.6666666666666666,0.6666666666666666,"{'Allergy, clinical immunology and immunotherapeutics'}",{'Vaccinology'},1.277777777777778,0.0,1.0,1.0,1.277777777777778
"Dataset from Defective signaling in aging, influenza vaccination 2007 SLVP015 {NCT01827462}",No description,gpt-3.5-turbo,"{'Vaccinology', 'Infectious disease', 'Immunology'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.5,0.6666666666666666,0.6666666666666666,"{'Allergy, clinical immunology and immunotherapeutics'}",{'Vaccinology'},1.277777777777778,0.0,1.0,1.0,1.277777777777778
Modeling Viral Immunity and Antagonism in Dendritic Cells,A suite of ex vivo perturbations are applied to explore DC response,gpt-3.5-turbo,"{'Computational biology', 'Infectious disease', 'Immunology'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.5,0.6666666666666666,0.6666666666666666,"{'Allergy, clinical immunology and immunotherapeutics'}",{'Computational biology'},1.1428571428571428,0.0,1.0,1.0,1.1428571428571428
Induction of maturation Marker after combinatorial TNFa and IFNb treatment,Explore combinatorial TNFa and IFNb treatment of DCs,gpt-3.5-turbo,"{'Molecular biology', 'Bioinformatics', 'Immunology'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.2,0.3333333333333333,0.3333333333333333,"{'Infectious disease', 'Allergy, clinical immunology and immunotherapeutics'}","{'Molecular biology', 'Bioinformatics'}",0.9847222222222223,0.0,1.0,1.0,0.9847222222222223
Peptide display hierarchy protocol,Peptide display hierarchy,gpt-3.5-turbo,"{'Protein structure analysis', 'Proteomics', 'Bioinformatics'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.0,0.0,0.0,"{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}","{'Protein structure analysis', 'Proteomics', 'Bioinformatics'}",0.7944444444444446,0.5,1.0,1.0,0.7944444444444446
Gene Expression Study of TLR Responses on Dendritic Cells,Cytokine and gene expression profile after TLR activation of dendritic cells.,gpt-3.5-turbo,"{'Cell biology', 'Immunology', 'Gene expression'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.2,0.3333333333333333,0.3333333333333333,"{'Infectious disease', 'Allergy, clinical immunology and immunotherapeutics'}","{'Cell biology', 'Gene expression'}",0.9993055555555554,0.3333333333333333,1.0,1.0,0.9993055555555554
RImmPort: an R/Bioconductor package that enables ready-for-analysis immunology research data.,": Open access to raw clinical and molecular data related to immunological studies has created a tremendous opportunity for data-driven science. We have developed RImmPort that prepares NIAID-funded research study datasets in ImmPort (immport.org) for analysis in R. RImmPort comprises of three main components: (i) a specification of R classes that encapsulate study data, (ii) foundational methods to load data of a specific study and (iii) generic methods to slice and dice data across different dimensions in one or more studies. Furthermore, RImmPort supports open formalisms, such as CDISC standards on the open source bioinformatics platform Bioconductor, to ensure that ImmPort curated study datasets are seamlessly accessible and ready for analysis, thus enabling innovative bioinformatics research in immunology.RImmPort is available as part of Bioconductor (bioconductor.org/packages/RImmPort).rshankar@stanford.edu.Supplementary data are available at Bioinformatics online.",gpt-3.5-turbo,"{'Computational biology', 'Bioinformatics', 'Immunology'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.2,0.3333333333333333,0.3333333333333333,"{'Infectious disease', 'Allergy, clinical immunology and immunotherapeutics'}","{'Computational biology', 'Bioinformatics'}",0.8339285714285714,0.0,1.0,1.0,0.8339285714285714
Dataset from B-cell Immunity to Influenza (SLVP017) 2011 {NCT03020498},No description,gpt-3.5-turbo,"{'Vaccinology', 'Infectious disease', 'Immunology'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.5,0.6666666666666666,0.6666666666666666,"{'Allergy, clinical immunology and immunotherapeutics'}",{'Vaccinology'},1.277777777777778,0.0,1.0,1.0,1.277777777777778
Mouse Study of X31 Influenza Infection,Influenza primary infection study with murine subject,gpt-3.5-turbo,"{'Infectious disease', 'Immunology', 'Animal study'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.5,0.6666666666666666,0.6666666666666666,"{'Allergy, clinical immunology and immunotherapeutics'}",{'Animal study'},1.1428571428571428,0.0,1.0,1.0,1.1428571428571428
Immune Responses to Seasonal Influenza Vaccination in Mouse model,Seasonal influenza vaccine study with Murine subject,gpt-3.5-turbo,"{'Vaccinology', 'Immunology', 'Animal study'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.2,0.3333333333333333,0.3333333333333333,"{'Infectious disease', 'Allergy, clinical immunology and immunotherapeutics'}","{'Vaccinology', 'Animal study'}",0.9239087301587303,0.3333333333333333,1.0,1.0,0.9239087301587303
siRNA knock down of RIG-I and TBK1 in DCs,DCs were transfected with RIG-I or TBK1 targeting siRNA and infected with NDV 24h post-transfectio,gpt-3.5-turbo,"{'Cell biology', 'Infectious disease', 'Immunology'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.5,0.6666666666666666,0.6666666666666666,"{'Allergy, clinical immunology and immunotherapeutics'}",{'Cell biology'},1.2916666666666667,0.0,1.0,1.0,1.2916666666666667
Innate Immune Pathways in Elderly and Immunosuppressed Populations 2011,Innate Immune Pathways in Elderly and Immunosuppressed Populations,gpt-3.5-turbo,"{'Geriatric medicine', 'Infectious disease', 'Immunology'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.5,0.6666666666666666,0.6666666666666666,"{'Allergy, clinical immunology and immunotherapeutics'}",{'Geriatric medicine'},1.2916666666666667,0.0,1.0,1.0,1.2916666666666667
Age-associated alterations in CD8a+ dendritic cells impair CD8,Age-associated decline in immunity to infection has been documented ,gpt-3.5-turbo,"{'Geriatric medicine', 'Infectious disease', 'Immunology'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",{'Aging'},0.5,0.6666666666666666,0.6666666666666666,"{'Allergy, clinical immunology and immunotherapeutics'}",{'Geriatric medicine'},1.2916666666666667,0.0,1.0,1.0,1.2916666666666667
Determine of anti-PA titer kinetics,Four groups of 12 mice will each be immunized with rPA ± Alum (alhydrogel). Two groups will then be boosted on Day 227 with rPA alone. Mice will be bled every 2-3 days over the course of 283 days. Serum samples will be prepared and assayed for anti-PA titers using ELISA and/or anthrax toxin neutralization assays.,gpt-3.5-turbo,"{'Infectious disease', 'Immunology', 'Animal study'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.5,0.6666666666666666,0.6666666666666666,"{'Allergy, clinical immunology and immunotherapeutics'}",{'Animal study'},1.1428571428571428,0.0,1.0,1.0,1.1428571428571428
Innate Immune Pathways in Elderly and Immunosuppressed Populations 2012,Innate Immune Pathways in Elderly and Immunosuppressed Populations,gpt-3.5-turbo,"{'Geriatric medicine', 'Infectious disease', 'Immunology'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.5,0.6666666666666666,0.6666666666666666,"{'Allergy, clinical immunology and immunotherapeutics'}",{'Geriatric medicine'},1.2916666666666667,0.0,1.0,1.0,1.2916666666666667
Histology post influenza,Histological analysis in lung post infection of B6 or B6 A02 transgenic AAD mice with influenza A/PR8/34 virus,gpt-3.5-turbo,"{'Infectious disease', 'Immunology', 'Animal study'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.5,0.6666666666666666,0.6666666666666666,"{'Allergy, clinical immunology and immunotherapeutics'}",{'Animal study'},1.1428571428571428,0.0,1.0,1.0,1.1428571428571428
A multiomics study in a Japanese rheumatoid arthritis cohort,A multiomics study in a Japanese rheumatoid arthritis cohort,gpt-3.5-turbo,"{'Musculoskeletal medicine', 'Immunology', 'Genetics'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",{'Rheumatology'},0.2,0.3333333333333333,0.3333333333333333,"{'Infectious disease', 'Allergy, clinical immunology and immunotherapeutics'}","{'Musculoskeletal medicine', 'Genetics'}",0.9847222222222223,0.0,1.0,1.0,0.9847222222222223
Effect of tissue-specific PPARg deficiency in bacterial loads,"In this study WT, CD4 cre+ and LysMcre- mice were infected with H. pylori strain SS1 for six months.",gpt-3.5-turbo,"{'Infectious disease', 'Immunology', 'Animal study'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.5,0.6666666666666666,0.6666666666666666,"{'Allergy, clinical immunology and immunotherapeutics'}",{'Animal study'},1.1428571428571428,0.0,1.0,1.0,1.1428571428571428
Mayo Clinic Smallpox Vaccine Immunogenetics Replication Study,Smallpox Vaccine Immunogenetics,gpt-3.5-turbo,"{'Immunogenetics', 'Infectious disease', 'Vaccinology'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.2,0.3333333333333333,0.3333333333333333,"{'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}","{'Immunogenetics', 'Vaccinology'}",0.9777777777777779,0.0,1.0,1.0,0.9777777777777779
Comprehensive study of germinal center development and antibody response,To comprehensively study the humoral response to immunization with rPA with or without Alum using in vitro antibody analyses and tissue staining.,gpt-3.5-turbo,"{'Vaccinology', 'Infectious disease', 'Immunology'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",{'Vaccineology'},0.5,0.6666666666666666,0.6666666666666666,"{'Allergy, clinical immunology and immunotherapeutics'}",{'Vaccinology'},1.277777777777778,0.0,1.0,1.0,1.277777777777778
UC MAIT study,Establish whether MAIT cells participate in pathophysiology of UC,gpt-3.5-turbo,"{'Pathology', 'Gastroenterology', 'Immunology'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.2,0.3333333333333333,0.3333333333333333,"{'Infectious disease', 'Allergy, clinical immunology and immunotherapeutics'}","{'Gastroenterology', 'Pathology'}",0.9847222222222223,0.0,1.0,1.0,0.9847222222222223
Dataset from ADVN Biomarker Registry Study: CMI/Ab-Vaccinia Substudy,No description,gpt-3.5-turbo,"{'Biomarkers', 'Immunology', 'Vaccinology'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.2,0.3333333333333333,0.3333333333333333,"{'Infectious disease', 'Allergy, clinical immunology and immunotherapeutics'}","{'Biomarkers', 'Vaccinology'}",0.9993055555555554,0.3333333333333333,1.0,1.0,0.9993055555555554
Aerosol vaccination in mice,Evaluation of the parameters required for effective aerosol delivery of influenza virus in mice using controlled 20 and 30 m MMAD particle aerosols as proof of concept for LAIV aerosol delivery,gpt-3.5-turbo,"{'Infectious disease', 'Vaccinology', 'Animal study'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.2,0.3333333333333333,0.3333333333333333,"{'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}","{'Vaccinology', 'Animal study'}",0.9103174603174604,1.0,1.0,1.0,0.9103174603174604
Mouse recombination path counting on a gpu,"The goal of the experiment is to test whether convergent recombination predicts TCRb in vivo frequency, by combining high throughput TCRb sequencing on the Roche 454 platform and highthrougput comprehensive TCRb in silico recombination path counting on a graphical processing unit.",gpt-3.5-turbo,"{'Bioinformatics', 'Immunology', 'Genetics'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.2,0.3333333333333333,0.3333333333333333,"{'Infectious disease', 'Allergy, clinical immunology and immunotherapeutics'}","{'Bioinformatics', 'Genetics'}",0.9847222222222223,0.0,1.0,1.0,0.9847222222222223
CD107 CTL assay,CD107A/B assay against influenza infected lung epithelium.,gpt-3.5-turbo,"{'Cell biology', 'Infectious disease', 'Immunology'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.5,0.6666666666666666,0.6666666666666666,"{'Allergy, clinical immunology and immunotherapeutics'}",{'Cell biology'},1.2916666666666667,0.0,1.0,1.0,1.2916666666666667
Influenza / S. aureus Superinfection,"Infection of mice with Influenza virus, S. aureus, or both",gpt-3.5-turbo,"{'Microbiology', 'Infectious disease', 'Animal study'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.2,0.3333333333333333,0.3333333333333333,"{'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}","{'Microbiology', 'Animal study'}",0.9172619047619048,0.0,1.0,1.0,0.9172619047619048
