Name,Description,Model,Predictions,Ground Truth,Hallucinations,Jaccard Similarity,Precision,Recall,Exclusive Ground Truth,Exclusive Predictions,Weight,Broadness Score,overprediction penalty,penalty,Adjusted Weights
LINCS - preprocessed,LINCS - PDRGC - preprocessed,gpt-3.5-turbo,"{'Computational biology', 'Data submission, annotation, and curation', 'Data integration and warehousing'}","{'Metabolomics', 'Protein binding sites', 'Molecular interactions, pathways and networks'}",set(),0.0,0.0,0.0,"{'Metabolomics', 'Protein binding sites', 'Molecular interactions, pathways and networks'}","{'Computational biology', 'Data submission, annotation, and curation', 'Data integration and warehousing'}",0.6322751322751322,0.0,1.0,1.0,0.6322751322751322
Columbia LINCS Trans-Center project data,"The Library of Integrated Network-based Cellular Signatures (LINCS) is a multi-institutional, collaborative project initiated by the National Institutes of Health whose goal is to identify and categorize molecular signatures that occur when cells are exposed to agents that perturb their normal function. Understanding how perturbations affect the behavior of cells is important because it can provide insights into the causes of disease and help researchers develop new therapeutic strategies.",gpt-3.5-turbo,"{'Bioinformatics', 'Cell biology', 'Genetics'}","{'Metabolomics', 'Protein binding sites', 'Molecular interactions, pathways and networks'}",set(),0.0,0.0,0.0,"{'Metabolomics', 'Protein binding sites', 'Molecular interactions, pathways and networks'}","{'Bioinformatics', 'Cell biology', 'Genetics'}",0.7833333333333333,0.0,1.0,1.0,0.7833333333333333
"LINCS Canvas Browser: interactive web app to query, browse and interrogate LINCS L1000 gene expression signatures.","For the Library of Integrated Network-based Cellular Signatures (LINCS) project many gene expression signatures using the L1000 technology have been produced. The L1000 technology is a cost-effective method to profile gene expression in large scale. LINCS Canvas Browser (LCB) is an interactive HTML5 web-based software application that facilitates querying, browsing and interrogating many of the currently available LINCS L1000 data. LCB implements two compacted layered canvases, one to visualize clustered L1000 expression data, and the other to display enrichment analysis results using 30 different gene set libraries. Clicking on an experimental condition highlights gene-sets enriched for the differentially expressed genes from the selected experiment. A search interface allows users to input gene lists and query them against over 100 000 conditions to find the top matching experiments. The tool integrates many resources for an unprecedented potential for new discoveries in systems biology and systems pharmacology. The LCB application is available at http://www.maayanlab.net/LINCS/LCB. Customized versions will be made part of the http://lincscloud.org and http://lincs.hms.harvard.edu websites.",gpt-3.5-turbo,"{'Bioinformatics', 'Computational biology', 'Systems biology'}","{'Metabolomics', 'Protein binding sites', 'Molecular interactions, pathways and networks'}",set(),0.0,0.0,0.0,"{'Metabolomics', 'Protein binding sites', 'Molecular interactions, pathways and networks'}","{'Bioinformatics', 'Computational biology', 'Systems biology'}",0.7078042328042328,0.0,1.0,1.0,0.7078042328042328
LINCS MCF10A GRNs calculated with ANANSE,GRNs calculated using ANANSE presumably active in LINCS MCF10A cell cultures perturbated with various TFs.,gpt-3.5-turbo,"{'Bioinformatics', 'Genomics', 'Computational biology'}","{'Metabolomics', 'Protein binding sites', 'Molecular interactions, pathways and networks'}",set(),0.0,0.0,0.0,"{'Metabolomics', 'Protein binding sites', 'Molecular interactions, pathways and networks'}","{'Bioinformatics', 'Genomics', 'Computational biology'}",0.7078042328042328,0.0,1.0,1.0,0.7078042328042328
Systematic Quality Control Analysis of LINCS Data.,"The Library of Integrated Cellular Signatures (LINCS) project provides comprehensive transcriptome profiling of human cell lines before and after chemical and genetic perturbations. Its L1000 platform utilizes 978 landmark genes to infer the transcript levels of 14,292 genes computationally. Here we conducted the L1000 data quality control analysis by using MCF7, PC3, and A375 cell lines as representative examples. Before perturbations, a promising 80% correlation in transcriptome was observed between L1000- and Affymetrix HU133A-platforms. After library-based shRNA perturbations, a moderate 30% of differentially expressed genes overlapped between any two selected controls viral vectors using the L1000 platform. The mitogen-activated protein kinase, vascular endothelial growth factor, and T-cell receptor pathways were identified as the most significantly shared pathways between chemical and genetic perturbations in cancer cells. In conclusion, L1000 platform is reliable in assessing transcriptome before perturbation. Its response to perturbagens needs to be interpreted with caution. A quality control analysis pipeline of L1000 is recommended before addressing biological questions.",gpt-3.5-turbo,"{'Bioinformatics', 'Computational biology', 'Transcriptomics'}","{'Metabolomics', 'Protein binding sites', 'Molecular interactions, pathways and networks'}",set(),0.0,0.0,0.0,"{'Metabolomics', 'Protein binding sites', 'Molecular interactions, pathways and networks'}","{'Bioinformatics', 'Computational biology', 'Transcriptomics'}",0.7155483405483406,0.5,1.0,1.0,0.7155483405483406
Compound signature detection on LINCS L1000 big data.,"The Library of Integrated Network-based Cellular Signatures (LINCS) L1000 big data provide gene expression profiles induced by over 10?000 compounds, shRNAs, and kinase inhibitors using the L1000 platform. We developed csNMF, a systematic compound signature discovery pipeline covering from raw L1000 data processing to drug screening and mechanism generation. The csNMF pipeline demonstrated better performance than the original L1000 pipeline. The discovered compound signatures of breast cancer were consistent with the LINCS KINOMEscan data and were clinically relevant. The csNMF pipeline provided a novel and complete tool to expedite signature-based drug discovery leveraging the LINCS L1000 resources.",gpt-3.5-turbo,"{'Bioinformatics', 'Drug discovery', 'Oncology'}","{'Metabolomics', 'Protein binding sites', 'Molecular interactions, pathways and networks'}",set(),0.0,0.0,0.0,"{'Metabolomics', 'Protein binding sites', 'Molecular interactions, pathways and networks'}","{'Bioinformatics', 'Drug discovery', 'Oncology'}",0.7078042328042328,0.0,1.0,1.0,0.7078042328042328
L1000 Dataset -small molecule perturbagens- LINCS Phase 1,Transcriptional profiles of cultured human cancer cell lines treated with small molecules: Expression of 978 representative genes is measured in 39 cell lines perturbed by 13 thousands of small molecules.,gpt-3.5-turbo,"{'Cell biology', 'Drug discovery', 'Gene expression'}","{'Metabolomics', 'Protein binding sites', 'Molecular interactions, pathways and networks'}",set(),0.0,0.0,0.0,"{'Metabolomics', 'Protein binding sites', 'Molecular interactions, pathways and networks'}","{'Cell biology', 'Drug discovery', 'Gene expression'}",0.7381433381433381,0.2857142857142857,1.0,1.0,0.7381433381433381
L1000 Dataset -small molecule perturbagens- LINCS Joint Project,"Transcriptional profiles of cultured human breast cancer cell lines treated with small molecules: 5 cell lines are treated with 109 small molecules and the expression of 978 representative genes is measured, as a part of the LINCS Joint Project.",gpt-3.5-turbo,"{'Transcriptomics', 'Small molecules'}","{'Metabolomics', 'Protein binding sites', 'Molecular interactions, pathways and networks'}",{'Cancer'},0.0,0.0,0.0,"{'Metabolomics', 'Protein binding sites', 'Molecular interactions, pathways and networks'}","{'Transcriptomics', 'Small molecules'}",0.7988215488215489,2.0,1.5,1.0,0.7988215488215489
L1000 Dataset -small molecule perturbagens- LINCS Trans-Center Project,"Transcriptional profiles of cultured human breast and prostate cancer cell lines treated with small molecules: 6 cancer cell lines are treated with 6 small molecules, as a part of the LINCS Trans-Center Project. The expression level for 978 representative genes is measured.",gpt-3.5-turbo,"{'Transcriptomics', 'Small molecules'}","{'Metabolomics', 'Protein binding sites', 'Molecular interactions, pathways and networks'}",{'Cancer'},0.0,0.0,0.0,"{'Metabolomics', 'Protein binding sites', 'Molecular interactions, pathways and networks'}","{'Transcriptomics', 'Small molecules'}",0.7988215488215489,2.0,1.5,1.0,0.7988215488215489
"L1000 Connectivity Map perturbational profiles from Broad Institute LINCS Center for Transcriptomics LINCS PHASE *II* (n=354,123; updated March 30, 2017)","The Library of Integrated Cellular Signatures (LINCS) is an NIH program which funds the generation of perturbational profiles across multiple cell and perturbation types, as well as read-outs, at a massive scale. The LINCS Center for Transcriptomics at the Broad Institute uses the L1000 high-throughput gene-expression assay to build a Connectivity Map which seeks to enable the discovery of functional connections between drugs, genes and diseases through analysis of patterns induced by common gene-expression changes.The platform is GPL20573: Broad Institute Human L1000 epsilonhttp://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL20573For questions or assistance with this dataset, please email the CMap support team at: clue@broadinstitute.org
LINCS aims to enable a functional understanding of biology by cataloging changes in gene expression and other cellular processes that occur when cells are exposed to a variety of perturbing agents. The Broad Institute LINCS Center for Transcriptomics contributes to this collaborative effort by application of the Connectivity Map concept. In brief, the study design involves the generation of a compendium of transcriptional expression data from cultured human cells treated with small-molecule and genetic loss/gain of function perturbagens. These measurements are made using the L1000 high-throughput gene-expression assay that enables data generation at an unprecedented scale.  The data are processed through a computational system, that converts raw fluorescence intensities into differential gene expression signatures. The data at each stage of the pre-processing are available: Level 1 (LXB) - raw, unprocessed flow cytometry data from Luminex scanners. One LXB file is generated for each well of a 384-well plate, and each file contains a fluorescence intensity value for every observed analyte in the well. Level 2 (GEX) - gene expression values per 1,000 genes after deconvolution from Luminex beads. Level 3 (Q2NORM) - gene expression profiles of both directly measured landmark transcripts plus inferred genes. Normalized using invariant set scaling followed by quantile normalization. Level 4 (Z-SCORES) - signatures with differentially expressed genes computed by robust z-scores for each profile relative to control (PC relative to plate population as control; VC relative to vehicle control)",gpt-3.5-turbo,"{'Bioinformatics', 'Drug development', 'Transcriptomics'}","{'Metabolomics', 'Protein binding sites', 'Molecular interactions, pathways and networks'}",set(),0.0,0.0,0.0,"{'Metabolomics', 'Protein binding sites', 'Molecular interactions, pathways and networks'}","{'Bioinformatics', 'Drug development', 'Transcriptomics'}",0.7988215488215489,2.0,1.0,1.0,0.7988215488215489
