Name,Description,Ground Truth,Predictions,Filtered Predictions,Hallucinations,Jaccard Similarity,Precision,Recall,Exclusive Ground Truth,Exclusive Predictions,Weight,Broadness Score,overprediction penalty,penalty,Adjusted Weights
Outcome and Immune Correlates of a Phase II Trial of High-Dose Interleukin-2 and Stereotactic Ablative Radiotherapy for Metastatic Renal Cell Carcinoma,"Purpose: This phase II clinical trial evaluated whether tumor antigen presentation by stereotactic ablative radiotherapy (SAbR) improves the objective response rate (ORR) to high-dose IL-2 (HD-IL-2), an approved immunotherapy, in metastatic kidney cancer (mRCC). Patients and Methods: Patients with pathologic evidence of clear cell RCC and radiographic evidence of metastasis were enrolled in this single arm phase II trial and were treated with SAbR in single or three treatments, followed by HD-IL-2. Correlative studies involved whole exome and transcriptome sequencing, T cell receptor (TCR) sequencing, cytokine analysis, and mass cytometry on patient samples and correlated the results with clinical outcomes. Results: Thirty mRCC patients were enrolled. A median of 2 (range 1-3) metastases were treated with SAbR. ORR of non-irradiated lesions was 16%; 8% showed complete response. Median overall survival (OS) was 16 months. All 30 patients developed treatment-related, reversible adverse events (AEs), including 22 (73%) grade ≥3 and no grade 5 AEs. Although SAbR did not improve the ORR to HD-IL-2, SAbR to lung metastases correlated with higher progression-free survival (p=0.0165). Correlative studies indicate increased frameshift mutational loads and mast cells with decreased circulating tumor-associated T-cell clones and T-cell clonal expansion in the group that benefited clinically. Patients with higher regulatory T-cell (Tregs)/CD8+ T-cell ratios in both baseline tumor and periphery did not benefit from this regimen. Conclusions: Adding SAbR did not improve the response rate to HD-IL-2 in patients with mRCC. Tissue analyses suggest a possible correlation between frameshift mutation and tumor immune infiltrates, and clinical outcomes. Patients were eligible if they were ≥18 years old, could give informed consent, had an Eastern Cooperative Oncology Group (ECOG) performance status of 0 or 1, and showed pathologic evidence of clear cell RCC and radiographic evidence of metastatic disease with at least two lesions with a combined diameter of >1.5 cm that were amenable to SAbR (minimum gross target volume ≥2 cm3). Patients who had received prior oncologic treatments had to be >14 days from their most recent surgery, radiation, immunotherapy, or any targeted agent. Adequate cardiac, pulmonary, renal, and hematologic organ function were required. Patients were excluded if they had any form of immunosuppression. Patients with brain metastases were allowed if the metastases had all been adequately treated with surgery or radiation. Clinigen Inc. (formerly Prometheus Laboratories) grant National Institutes of Health (NIH) grant CCSG 5P30CA142543 (TW) Cancer Prevention Research Institute of Texas grant CPRIT RP190208 (TW) Simmons Cancer Center DSSR, UT Southwestern Medical Center 5P30CA142543(TW) National Cancer Institute (NCI) SPORE grant P50CA196516 (AC, CA, PK, KC, IP, TA, VM, JB) NIH grant 5RO1CA154475 (PK, IP) NIH grant U01CA207091 (IP) American Cancer Society grant RSG-16-004-01-CCE (RH) CPRIT MIRA RP180725 (RH)","{'Immunoinformatics', 'Structure analysis', 'Immunoproteins and antigens'}","{'Oncology', 'Genetics', 'Immunology'}","Immunology, Genetics, Oncology",set(),0.0,0.0,0.0,"{'Immunoinformatics', 'Structure analysis', 'Immunoproteins and antigens'}","{'Oncology', 'Genetics', 'Immunology'}",0.7374338624338624,0.5,1.0,1.0,0.7374338624338624
T cell Receptor Repertoires Acquired via Routine Pap Testing May Help Refine Cervical Cancer and Precancer Risk Estimates,"Cervical cancer is the fourth most common cancer and fourth leading cause of cancer death among women worldwide. In low Human Development Index settings, it ranks second. Screening and surveillance involve the cytology-based Papanicolaou (Pap) test and testing for high-risk human papillomavirus (hrHPV). The Pap test has low sensitivity to detect precursor lesions, while a single hrHPV test cannot distinguish a persistent infection from one that the immune system will naturally clear. Furthermore, among women who are hrHPV-positive and progress to high-grade cervical lesions, testing cannot identify the ~20% who would progress to cancer if not treated. Thus, reliable detection and treatment of cancers and precancers requires routine screening followed by frequent surveillance among those with past abnormal or positive results. The consequence is overtreatment, with its associated risks and complications, in screened populations and an increased risk of cancer in under-screened populations. Methods to improve cervical cancer risk assessment, particularly assays to predict regression of precursor lesions or clearance of hrHPV infection, would benefit both populations. Here we show that women who have lower risk results on follow-up testing relative to index testing have evidence of enhanced T cell clonal expansion in the index cervical cytology sample compared to women who persist with higher risk results from index to follow-up. We further show that a machine learning classifier based on the index sample T cells predicts this transition to lower risk with 95% accuracy (19/20) by leave-one-out cross-validation. Using T cell receptor deep sequencing and machine learning, we identified a biophysicochemical motif in the complementarity-determining region 3 of T cell receptor β chains whose presence predicts this transition. While these results must still be tested on an independent cohort in a prospective study, they suggest that this approach could improve cervical cancer screening by helping distinguish women likely to spontaneously regress from those at elevated risk of progression to cancer. The advancement of such a strategy could reduce surveillance frequency and overtreatment in screened populations and improve the delivery of screening to under-screened populations. We included samples from White Hispanic women age 18 years or older. We excluded women who were HIV+, pregnant, had an intrauterine device, or had a sexually transmitted disease at the time of sample collection. We obtained samples across all cytology result categories: Negative for Intraepithelial Lesion or Malignancy (NILM, Normal), Abnormal Squamous Cells of Undetermined Significance (ASCUS), Low-grade Squamous Intraepithelial Lesion (LSIL), and High-grade Squamous Intraepithelial Lesion (HSIL). At Parkland Health and Hospital System (PHHS), the primary screening strategy is cytology alone with a reflex hrHPV test for women with an ASCUS cytology result. The test assays for positivity across 14 HPV types, and the ASCUS result category is divided into ASCUS/HPV- (negative for all 14 types) and ASCUS/HPV+ (positive for at least one type). An additional exclusion criterion was applied to women with a result of Normal, ASCUS/HPV-, and ASCUS/HPV+, and that is they were excluded if they had previously had cervical cancer or previous treatment of cervical pre-cancerous lesions. We applied these inclusion and exclusion criteria in a quota sampling scheme to ensure adequate representation of women across all five result categories. We targeted a minimum of 100 samples total with a minimum of 15 samples in each category, and then rescued all samples meeting our criteria each week until all minimums were reached. This research was supported by Simmons Comprehensive Cancer Center Development Funds and by a charitable donation from Young Texans Against Cancer, both to LC and JT.","{'Immunoinformatics', 'Structure analysis', 'Immunoproteins and antigens'}","{'Oncology', 'Immunology', 'Machine learning'}","Immunology, Machine learning, Oncology",set(),0.0,0.0,0.0,"{'Immunoinformatics', 'Structure analysis', 'Immunoproteins and antigens'}","{'Oncology', 'Immunology', 'Machine learning'}",0.7374338624338624,0.5,1.0,1.0,0.7374338624338624
"Lorenzo et al., ALDH4A1 is an atherosclerosis auto-antigen targeted by protective antibodies","SVP-2014-068289,SVP-2014-068216,SAF2016-75511-R,PGC2018-097019-B-I00,SEV-2015-0505","{'Immunoinformatics', 'Structure analysis', 'Immunoproteins and antigens'}","{'Immunology', 'Biology', 'Biochemistry'}","Immunology, Biochemistry, Biology",set(),0.0,0.0,0.0,"{'Immunoinformatics', 'Structure analysis', 'Immunoproteins and antigens'}","{'Immunology', 'Biology', 'Biochemistry'}",0.675705467372134,0.125,1.0,1.0,0.675705467372134
A large-scale database of T-cell receptor beta (TCRb) sequences and binding associations from natural and synthetic exposure to SARS-CoV-2,"COVID-19-HUniv12Oct: We describe the establishment and current content of the ImmuneCODE™ database, which includes hundreds of millions of T-cell Receptor (TCR) sequences from over 1,400 subjects exposed to or infected with the SARSCoV-2 virus, as well as over 135,000 high-confidence SARS-CoV-2-specific TCRs.","{'Immunoinformatics', 'Structure analysis', 'Immunoproteins and antigens'}","{'Infectious disease', 'Genetics', 'Immunology'}","Immunology, Infectious disease, Genetics",set(),0.0,0.0,0.0,"{'Immunoinformatics', 'Structure analysis', 'Immunoproteins and antigens'}","{'Infectious disease', 'Genetics', 'Immunology'}",0.7419312169312169,0.8,1.0,1.0,0.7419312169312169
"Bashford-Rogers et al., Network properties derived from deep sequencing of human B-cell receptor repertoires delineate B-cell populations",Cancer Study,"{'Immunoinformatics', 'Structure analysis', 'Immunoproteins and antigens'}","{'Genomics', 'Immunology', 'Biology'}","Immunology, Biology, Genomics",set(),0.0,0.0,0.0,"{'Immunoinformatics', 'Structure analysis', 'Immunoproteins and antigens'}","{'Genomics', 'Immunology', 'Biology'}",0.7065696649029982,0.2857142857142857,1.0,1.0,0.7065696649029982
"Collins et al., The Mouse Antibody Heavy Chain Repertoire Is Germline-Focused and Highly Variable Between Inbred Strains",IgM and IgG Repertoire Study,"{'Immunoinformatics', 'Structure analysis', 'Immunoproteins and antigens'}","{'Animal study', 'Genetics', 'Immunology'}","Immunology, Genetics, Animal study",set(),0.0,0.0,0.0,"{'Immunoinformatics', 'Structure analysis', 'Immunoproteins and antigens'}","{'Animal study', 'Genetics', 'Immunology'}",0.7065696649029982,0.2857142857142857,1.0,1.0,0.7065696649029982
"Zhu et al., Mining the antibodyome for HIV-1 neutralizing antibodies with next generation sequencing and phylogenetic pairing of heavy/light chains",HIV+ Study,"{'Immunoinformatics', 'Structure analysis', 'Immunoproteins and antigens'}","{'Infectious disease', 'Genetics', 'Immunology'}","Immunology, Genetics, Infectious disease",set(),0.0,0.0,0.0,"{'Immunoinformatics', 'Structure analysis', 'Immunoproteins and antigens'}","{'Infectious disease', 'Genetics', 'Immunology'}",0.7419312169312169,0.8,1.0,1.0,0.7419312169312169
"Valdés-Alemán et al., Hybridization-based antibody cDNA recovery for production of recombinant antibodies identified by repertoire sequencing","Healthy mouse Study Consejo Nacional de Ciencia y Tecnología [S0008–142120, CB-2009–01–133765]","{'Immunoinformatics', 'Structure analysis', 'Immunoproteins and antigens'}","{'Genomics', 'Immunology', 'Bioinformatics'}","Immunology, Bioinformatics, Genomics",set(),0.0,0.0,0.0,"{'Immunoinformatics', 'Structure analysis', 'Immunoproteins and antigens'}","{'Genomics', 'Immunology', 'Bioinformatics'}",0.7273242630385487,0.4,1.0,1.0,0.7273242630385487
"Zvyagin et al., Tracking T-cell immune reconstruction after TCR/CD19-depleted hematopoietic cells transplantation in children","Cancer Study HST transplant Russian Science Foundation grant no 14-35-00105, Russian Science Foundation grant no 15-15-00178, grant MK-4583.2015.4","{'Immunoinformatics', 'Structure analysis', 'Immunoproteins and antigens'}",{'Immunology'},Immunology,"{'Pediatrics', 'Cancer Study'}",0.0,0.0,0.0,"{'Immunoinformatics', 'Structure analysis', 'Immunoproteins and antigens'}",{'Immunology'},0.7374338624338624,0.5,3.0,1.0,0.7374338624338624
Large-scale sequence and structural comparisons of human naive and antigen-experienced antibody repertoires,"Elucidating how antigen exposure and selection shape the human antibody repertoire is fundamental to our understanding of B-cell immunity. We sequenced the paired heavy- and light-chain variable regions (VH and VL, respectively) from large populations of single B cells combined with computational modeling of antibody structures to evaluate sequence and structural features of human antibody repertoires at unprecedented depth. Analysis of a dataset com- prising 55,000 antibody clusters from CD19+CD20+CD27− IgM-naive B cells, >120,000 antibody clusters from CD19+CD20+CD27+ antigen– experienced B cells, and >2,000 RosettaAntibody-predicted structural models across three healthy donors led to a number of key find- ings: (i) VH and VL gene sequences pair in a combinatorial fashion without detectable pairing restrictions at the population level; (ii) certain VH:VL gene pairs were significantly enriched or depleted in the antigen-experienced repertoire relative to the naive repertoire; (iii) antigen selection increased antibody paratope net charge and solvent-accessible surface area; and (iv) public heavy-chain third complementarity-determining region (CDR-H3) antibodies in the antigen-experienced repertoire showed signs of convergent paired light-chain genetic signatures, including shared light-chain third complementarity-determining region (CDR-L3) amino acid sequences and/or Vκ,λ–Jκ,λ genes. The data reported here address several longstanding questions regarding antibody repertoire selection and development and provide a benchmark for future repertoire-scale analyses of antibody responses to vaccination and disease. This work was supported by NIH Grant R56 AI106006, by Defense Threat Reduction Agency Grant HDTRA1-12-C-0105, and by a grant from the Clayton Foundation. B.J.D. was funded by graduate fellowships from the Hertz Foundation, the University of Texas Donald D. Harrington Foundation, and the National Science Foundation. O.I.L. was funded by NIH Collaborative Opportunities for Research Educators Fellowship 1 K12 GM102745. G.C.I. was funded by the World Health Organization. D.K. and J.J.G. were funded by NIH Grant 5 R01 GM078221.","{'Immunoinformatics', 'Structure analysis', 'Immunoproteins and antigens'}","{'Immunology', 'Vaccinology'}","Immunology, Vaccinology",{'Immuno genomics'},0.0,0.0,0.0,"{'Immunoinformatics', 'Structure analysis', 'Immunoproteins and antigens'}","{'Immunology', 'Vaccinology'}",0.744179894179894,1.0,1.5,1.0,0.744179894179894
