Name,Description,Model,Predictions
<i>Epichloe glyceriae</i> E277 Genome Sequence,Genome Sequence for Epichloe glyceriae E277,gpt-3.5-turbo,"Genomics	Plant biology	Biology
"
Distribution of Rhodnius prolixus and R. robustus species complex in South America,"The published study describes a non-coding, single-copy nuclear DNA fragment that contains a single-nucleotide polymorphism (SNP) with the potential to distinguish
the important domestic Chagas disease vector, Rhodnius prolixus, from members of the four sylvatic Rhodnius robustus cryptic species complex.  Here, the species distribution of insects used in this study is shown across the northern part of South America. (MapVEu VBP0000116)",gpt-3.5-turbo,"Parasitology	Zoology	Environmental sciences
"
DNA damage-induced transcriptome changes in Candida glabrata,DNA damage-induced transcriptome changes in Candida glabrata,gpt-3.5-turbo,"DNA, Gene expression, Transcriptomics
"
Insecticide suceptibility status of certain populations of Aedes aegypti mosquito from rural areas of Maharashtra State,Insecticide resistance study imported from IRBase. (MapVEu VBP0000089),gpt-3.5-turbo,"Infectious disease	Tropical medicine	Microbiology
"
"Mosquito surveillance, Ada County Weed, Pest, and Mosquito, in Idaho, USA, 2012","Mosquito collections from Ada County Weed, Pest, and Mosquito have been made in various locations in Ada County, Idaho, USA, using EVS (Encephalitis Vector Survey) traps. (MapVEu VBP0000660)",gpt-3.5-turbo,"Environmental sciences	Zoology	Microbial collection
"
Montana State University mosquito data for 2006,"2006 mosquito surveillance data collected by Montana State University, Department of Animal and Range Sciences. (MapVEu VBP0000703)",gpt-3.5-turbo,"Ecology   	Ecology	    Microbiology
"
Implications for changes in Anopheles darlingi biting behaviour in three communities in the peri-Iquitos region of Amazonian Peru,"To evaluate vector biology metrics in relation to seasonality and malaria transmission, mosquito collections were carried out in three localities in the peri-Iquitos region, Loreto, Peru in 2011–2012. Human landing catch (HLC) collection method, Shannon (SHA) and CDC trap types were compared for effectiveness in a neotropical setting.",gpt-3.5-turbo,"Ecology	Tropical medicine	Microbiology
"
A-MEXP-1878 - McGraw_ONeill - Aedes aegypti - Agilent 4 x 44K v1,"Chip was a 4 x 44K spotted glass array constructed using Agilent Spotted Microarray Technology platform. The chip was spotted with 60 nucleotide sequences of Aedes aegypti transcripts. The 60 nt sequences were checked against the Ae. aegypti and Homo sapiens genomes for cross-hybridization, any that cross-hybridized were removed from the chip. There were approximately 13,500 aedes transcripts used. Each is replicated three times per hyb. Each of the four hybridizations is an identical replicate.",gpt-3.5-turbo,"Transcriptomics	Experimental design	Data architecture, analysis and design
"
Montana State University mosquito data for 2015,"2015 mosquito surveillance data collected by Montana State University, Department of Animal and Range Sciences. (MapVEu VBP0000666)",gpt-3.5-turbo,"Entomology    Zoology    Environmental sciences
"
Genome-wide mapping of transcription initiation,"Strand-specific 5′-end RNA sequencing of T. gondii ME49 tachyzoites and alkaline-stress–induced bradyzoites, as well as RH tachyzoites.",gpt-3.5-turbo,"Genomics   	Transcription factors and regulatory sites  	Transcriptomics
"
