Name,Description,Model,Predictions,Hallucinations
<i>Epichloe glyceriae</i> E277 Genome Sequence,Genome Sequence for Epichloe glyceriae E277,gpt-3.5-turbo,"{'Genomics', 'Biology', 'Plant biology'}",set()
Distribution of Rhodnius prolixus and R. robustus species complex in South America,"The published study describes a non-coding, single-copy nuclear DNA fragment that contains a single-nucleotide polymorphism (SNP) with the potential to distinguish
the important domestic Chagas disease vector, Rhodnius prolixus, from members of the four sylvatic Rhodnius robustus cryptic species complex.  Here, the species distribution of insects used in this study is shown across the northern part of South America. (MapVEu VBP0000116)",gpt-3.5-turbo,"{'Zoology', 'Parasitology', 'Environmental sciences'}",set()
DNA damage-induced transcriptome changes in Candida glabrata,DNA damage-induced transcriptome changes in Candida glabrata,gpt-3.5-turbo,"{'Transcriptomics', 'DNA', 'Gene expression'}",set()
Insecticide suceptibility status of certain populations of Aedes aegypti mosquito from rural areas of Maharashtra State,Insecticide resistance study imported from IRBase. (MapVEu VBP0000089),gpt-3.5-turbo,"{'Tropical medicine', 'Microbiology', 'Infectious disease'}",set()
"Mosquito surveillance, Ada County Weed, Pest, and Mosquito, in Idaho, USA, 2012","Mosquito collections from Ada County Weed, Pest, and Mosquito have been made in various locations in Ada County, Idaho, USA, using EVS (Encephalitis Vector Survey) traps. (MapVEu VBP0000660)",gpt-3.5-turbo,"{'Microbial collection', 'Zoology', 'Environmental sciences'}",set()
Montana State University mosquito data for 2006,"2006 mosquito surveillance data collected by Montana State University, Department of Animal and Range Sciences. (MapVEu VBP0000703)",gpt-3.5-turbo,"{'Microbiology', 'Ecology'}",set()
Implications for changes in Anopheles darlingi biting behaviour in three communities in the peri-Iquitos region of Amazonian Peru,"To evaluate vector biology metrics in relation to seasonality and malaria transmission, mosquito collections were carried out in three localities in the peri-Iquitos region, Loreto, Peru in 2011–2012. Human landing catch (HLC) collection method, Shannon (SHA) and CDC trap types were compared for effectiveness in a neotropical setting.",gpt-3.5-turbo,"{'Tropical medicine', 'Microbiology', 'Ecology'}",set()
A-MEXP-1878 - McGraw_ONeill - Aedes aegypti - Agilent 4 x 44K v1,"Chip was a 4 x 44K spotted glass array constructed using Agilent Spotted Microarray Technology platform. The chip was spotted with 60 nucleotide sequences of Aedes aegypti transcripts. The 60 nt sequences were checked against the Ae. aegypti and Homo sapiens genomes for cross-hybridization, any that cross-hybridized were removed from the chip. There were approximately 13,500 aedes transcripts used. Each is replicated three times per hyb. Each of the four hybridizations is an identical replicate.",gpt-3.5-turbo,"{'""Data architecture, analysis and design""', 'Transcriptomics'}",{'Experimental design'}
Montana State University mosquito data for 2015,"2015 mosquito surveillance data collected by Montana State University, Department of Animal and Range Sciences. (MapVEu VBP0000666)",gpt-3.5-turbo,"{'Zoology', 'Environmental sciences'}",{'Entomology'}
Genome-wide mapping of transcription initiation,"Strand-specific 5′-end RNA sequencing of T. gondii ME49 tachyzoites and alkaline-stress–induced bradyzoites, as well as RH tachyzoites.",gpt-3.5-turbo,"{'Genomics', 'Transcriptomics', 'Transcription factors and regulatory sites'}",set()
Local selection in the presence of high levels of gene flow: Evidence of heterogeneous insecticide selection pressure across Ugandan Culex quinquefasciatus populations,"Population genetic structure was assessed through microsatellite analysis, and the impact of insecticide pressure by genotyping two target-site mutations, Vgsc-1014F of the voltage-gated sodium channel target of pyrethroid and DDT insecticides, and Ace1-119S of the acetylcholinesterase gene, target of carbamate and organophosphate insecticides.",gpt-3.5-turbo,"{'Population genetics', 'Population genomics', 'Infectious disease'}",set()
SNP calls on A. fumigatus strains isolated from patients with PA and CNPA,WGS analyses of 17 strains isolated from patients in Japan with PA and CNPA,gpt-3.5-turbo,"{'Genetics', 'Microbiology', 'Molecular biology'}",set()
<i>Schizosaccharomyces japonicus</i> yFS275 Genome Sequence and Annotation,Genome sequence and annotation for Schizosaccharomyces japonicus yFS275.,gpt-3.5-turbo,"{'Genomics', 'Cell biology', 'Molecular biology'}",set()
<i>Toxoplasma gondii</i> COUG Genome Sequence and Annotation,Genome sequence and annotation for Toxoplasma gondii strain COUG.,gpt-3.5-turbo,"{'Genomics', 'Microbiology', 'Parasitology'}",set()
Antennae vs hind legs,Antennae and legs dissected from blood-fed adult females on day 3 and 4.,gpt-3.5-turbo,"{'Animal study', 'Molecular biology', 'Anatomy'}",set()
Transcriptional profiling of B. gramminis on Lr34 resistance and susceptible barley plants,Transcriptional analysis of the Blumeria graminis biotrophic pathogen during their respective growth on Lr34 resistance and susceptible barley plants.,gpt-3.5-turbo,"{'Biotechnology', 'Transcriptomics', 'Plant biology'}",set()
<i>Plasmodium reichenowi</i> G01 Genome Sequence and Annotation,Genome Sequence and annotation for Plasmodium reichenowi G01,gpt-3.5-turbo,"{'Genetics', 'Comparative genomics', 'Genomics'}",set()
<i>Mitosporidium daphniae</i> UGP3 Genome Sequence and Annotation,Mitosporidium daphniae UGP3 Sequence and Annotation,gpt-3.5-turbo,"{'Genomics', 'Bioinformatics', 'Biology'}",set()
<i>Trypanosoma brucei</i> EATRO1125 Genome Sequence and Annotation,Genome Sequence and Annotation of Trypanosoma brucei EATRO1125,gpt-3.5-turbo,"{'Genomics', 'Parasitology', 'Molecular biology'}",set()
Musca domestica Transcriptome or Gene expression,"RNA-Seq of eggs, larvae and adults",gpt-3.5-turbo,"{'Animal study', 'Transcriptomics', 'Gene expression'}",set()
"State-wide mosquito surveillance in Iowa, USA, 1997 (New Jersey light trap)","Mosquito collections have been made in various locations in Iowa, USA, using New Jersey light traps. (MapVEu VBP0000409)",gpt-3.5-turbo,"{'Zoology', 'Microbiology', 'Environmental sciences'}",set()
